ID,Label,Slope,Aspect,Elevation,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology
75,product-380669,0,25,58,23,36
76,product-141288,0,25,72,6,24
77,product-141378,0,25,72,27,48
78,product-244046,0,25,67,55,25
79,product-62267,0,25,36,12,24
80,product-48998,0,25,55,24,26
81,product-32333,0,25,52,2,23
82,product-359557,0,25,63,13,22
83,product-350577,0,25,71,36,34
84,product-208090,0,25,24,2,22
85,product-33594,0,25,40,0,22
86,product-293553,0,25,53,2,22
87,product-376353,0,25,76,23,29
88,product-242682,0,25,68,59,27
89,product-242628,0,25,63,4,23
90,product-112492,0,25,58,0,22
91,product-218311,0,25,61,23,26
92,product-242235,0,25,63,5,22
93,product-144344,0,25,68,2,22
94,product-101357,0,25,58,3,22
95,product-344364,0,25,68,15,24
96,product-226817,0,25,62,26,25
97,product-99991,0,25,44,3,23
98,product-16653,0,25,45,24,26
99,product-100831,0,25,63,2,22
100,product-10895,0,25,41,13,27
101,product-344415,0,25,64,48,20
102,product-306219,0,25,48,2,23
103,product-266055,0,25,66,10,22
104,product-51296,0,25,46,6,23
105,product-363588,0,25,66,30,18
106,product-229534,0,25,63,48,31
107,product-335543,0,25,58,4,22
108,product-304459,0,25,63,0,22
109,product-366661,0,25,78,21,23
110,product-227254,0,25,62,27,24
111,product-345510,0,25,60,2,22
112,product-366979,0,25,78,20,23
113,product-335471,0,25,67,3,23
114,product-54052,0,25,52,31,25
115,product-367044,0,25,65,0,22
116,product-66566,0,38,35,2,23
117,product-236436,0,38,40,0,22
118,product-312931,0,38,67,0,22
119,product-88649,0,38,46,16,24
120,product-56993,0,38,53,11,22
121,product-65575,0,38,50,44,36
122,product-42116,0,38,51,22,25
123,product-206748,0,38,59,24,22
124,product-206164,0,38,22,0,22
125,product-122799,0,38,64,3,22
126,product-300418,0,38,58,2,22
127,product-122778,0,38,67,29,25
128,product-102172,0,38,53,14,33
129,product-117981,0,38,56,13,25
130,product-147277,0,38,72,14,28
131,product-42456,0,38,54,14,25
132,product-54495,0,38,52,34,25
133,product-39804,0,38,53,24,30
134,product-353617,0,38,67,17,27
135,product-17546,0,38,47,22,25
136,product-376805,0,38,66,9,23
137,product-357026,0,38,64,14,23
138,product-287956,0,38,72,0,22
139,product-83429,0,38,45,6,24
140,product-211858,0,38,51,29,31
141,product-214223,0,38,56,39,18
142,product-241620,0,38,50,37,33
143,product-186712,0,38,54,8,24
144,product-106020,0,38,55,2,22
145,product-296041,0,38,59,38,35
146,product-63474,0,38,53,11,22
147,product-177077,0,38,69,12,25
148,product-133694,0,38,68,29,23
149,product-142214,0,38,71,35,26
150,product-236700,0,38,62,8,24
151,product-129479,0,38,62,2,22
152,product-120629,0,38,59,17,22
153,product-15095,0,38,51,2,22
154,product-100386,0,38,58,0,22
155,product-144665,0,38,68,0,22
156,product-122348,0,38,64,4,22
157,product-397356,0,38,39,28,50
158,product-43155,0,38,55,24,25
159,product-100623,0,38,58,0,22
160,product-264963,0,38,66,4,22
161,product-44540,0,38,56,33,29
162,product-202486,0,38,55,12,23
163,product-51721,0,38,46,8,22
164,product-51218,0,38,54,2,22
165,product-121755,0,38,59,5,22
166,product-145351,0,38,68,0,22
167,product-139409,0,50,71,21,27
168,product-189164,0,50,69,6,22
169,product-390175,0,50,36,2,22
170,product-220198,0,50,58,28,27
171,product-104774,0,50,53,24,32
172,product-206224,0,50,31,35,39
173,product-258024,0,50,75,0,22
174,product-203412,0,50,55,12,22
175,product-122777,0,50,67,27,25
176,product-42649,0,50,54,21,24
177,product-36817,0,50,54,0,22
178,product-54105,0,50,43,8,23
179,product-202799,0,50,55,11,23
180,product-232869,0,50,63,38,29
181,product-1219,0,50,76,13,27
182,product-92794,0,50,55,20,29
183,product-103327,0,50,47,13,24
184,product-135807,0,50,68,0,22
185,product-257529,0,50,75,0,22
186,product-122552,0,50,67,28,25
187,product-148441,0,50,70,17,26
188,product-57303,0,50,53,20,30
189,product-134021,0,50,68,25,23
190,product-62825,0,50,46,0,22
191,product-111483,0,50,51,0,22
192,product-141495,0,50,67,2,22
193,product-84271,0,50,42,0,22
194,product-133858,0,50,68,27,23
195,product-86645,0,50,42,13,23
196,product-38808,0,50,54,14,26
197,product-282344,0,50,47,0,22
198,product-127680,0,50,69,38,30
199,product-187101,0,50,54,19,24
200,product-88080,0,50,54,34,29
201,product-88403,0,50,47,19,28
202,product-176863,0,50,57,28,26
203,product-81978,0,50,36,13,22
204,product-133693,0,50,68,29,26
205,product-160032,0,50,56,23,30
206,product-138004,0,50,71,33,28
207,product-138232,0,50,71,33,28
208,product-34963,0,50,48,9,24
209,product-73991,0,50,46,6,24
210,product-129908,0,50,68,31,26
211,product-130697,0,50,51,0,22
212,product-10803,0,50,32,0,22
213,product-44971,0,50,55,31,28
214,product-198821,0,50,54,4,22
215,product-398967,0,50,29,24,34
216,product-232501,0,50,63,29,27
217,product-101651,0,50,53,2,23
218,product-144195,0,50,70,30,36
219,product-314246,0,62,55,0,22
220,product-11235,0,62,38,2,22
221,product-55786,0,62,45,3,22
222,product-37540,0,62,56,37,26
223,product-114058,0,62,56,14,23
224,product-127798,0,62,61,32,25
225,product-359787,0,62,69,0,22
226,product-123761,0,62,63,3,22
227,product-142828,0,62,71,38,45
228,product-104923,0,62,59,44,33
229,product-56762,0,62,53,10,22
230,product-277232,0,62,75,23,26
231,product-122766,0,62,66,6,22
232,product-202873,0,62,58,35,33
233,product-67649,0,62,48,24,27
234,product-10072,0,62,37,17,32
235,product-50518,0,62,52,9,24
236,product-122987,0,62,66,10,22
237,product-32611,0,62,43,9,23
238,product-109361,0,62,56,5,22
239,product-182710,0,62,46,14,30
240,product-82842,0,62,46,24,28
241,product-318656,0,62,49,4,24
242,product-83970,0,62,45,10,26
243,product-109788,0,62,63,29,25
244,product-126540,0,62,66,4,22
245,product-47430,0,62,53,27,20
246,product-127459,0,62,69,35,30
247,product-106683,0,62,64,13,27
248,product-108334,0,62,51,18,29
249,product-142036,0,62,71,37,26
250,product-294535,0,62,44,30,25
251,product-44757,0,62,55,28,28
252,product-122323,0,62,67,29,25
253,product-137767,0,62,71,34,28
254,product-227443,0,62,48,13,25
255,product-137926,0,62,62,11,26
256,product-201884,0,62,54,2,22
257,product-201238,0,62,55,8,23
258,product-194079,0,62,30,14,28
259,product-226456,0,62,65,6,22
260,product-272290,0,62,74,39,28
261,product-163626,0,62,55,18,24
262,product-98915,0,62,56,8,21
263,product-72502,0,75,43,34,30
264,product-254945,0,75,69,25,22
265,product-169945,0,75,51,20,28
266,product-31090,0,75,44,14,25
267,product-361576,0,75,76,63,48
268,product-105690,0,75,61,15,27
269,product-360198,0,75,64,17,22
270,product-23569,0,75,66,12,23
271,product-276625,0,75,61,7,23
272,product-54700,0,75,52,24,22
273,product-213631,0,75,52,26,36
274,product-84986,0,75,52,29,28
275,product-244591,0,75,63,4,23
276,product-244589,0,75,63,6,23
277,product-47573,0,75,48,15,24
278,product-355026,0,75,74,57,37
279,product-180368,0,75,24,24,37
280,product-245284,0,75,67,41,33
281,product-59467,0,75,39,17,32
282,product-106333,0,75,57,22,29
283,product-127431,0,75,55,3,22
284,product-376232,0,75,71,4,23
285,product-218320,0,75,60,40,31
286,product-93870,0,75,39,4,23
287,product-340005,0,75,68,24,28
288,product-121420,0,75,55,11,27
289,product-302393,0,75,56,32,31
290,product-78424,0,88,40,45,26
291,product-37757,0,88,55,34,25
292,product-78381,0,88,45,11,25
293,product-104301,0,88,60,32,26
294,product-221311,0,88,25,0,22
295,product-205270,0,88,32,9,25
296,product-139439,0,88,68,26,24
297,product-296880,0,88,80,46,33
298,product-122801,0,88,64,0,22
299,product-129053,0,88,57,0,22
300,product-300419,0,88,58,3,22
301,product-300738,0,88,60,50,26
302,product-146425,0,88,68,14,21
303,product-257756,0,88,36,24,25
304,product-256791,0,88,35,28,24
305,product-204296,0,88,55,6,22
306,product-123023,0,88,64,19,22
307,product-67681,0,88,43,6,24
308,product-276397,0,88,71,70,44
309,product-141637,0,88,67,11,24
310,product-133927,0,88,58,5,22
311,product-376806,0,88,66,8,23
312,product-111511,0,88,58,4,22
313,product-85067,0,88,41,0,22
314,product-15553,0,88,42,17,25
315,product-11989,0,88,38,2,22
316,product-40176,0,88,50,15,25
317,product-181381,0,88,23,26,46
318,product-214228,0,88,56,24,26
319,product-27443,0,88,43,13,23
320,product-87389,0,88,44,0,22
321,product-107586,0,88,56,2,22
322,product-87974,0,88,52,0,22
323,product-127239,0,88,69,32,30
324,product-138001,0,88,71,27,27
325,product-138229,0,88,71,27,27
326,product-201781,0,88,76,8,23
327,product-35723,0,88,42,23,27
328,product-163336,0,88,55,16,25
329,product-306265,0,88,63,46,33
330,product-99905,0,88,58,2,22
331,product-305785,0,88,62,0,22
332,product-101316,0,88,62,6,22
333,product-70309,0,88,40,14,23
334,product-122356,0,88,64,20,22
335,product-98792,0,88,44,2,22
336,product-335750,0,88,66,15,22
337,product-94506,0,88,52,5,22
338,product-192619,0,88,56,2,22
339,product-266839,0,88,68,42,32
340,product-100146,0,88,58,2,22
341,product-71290,2,3,40,16,23
342,product-64330,2,3,38,21,26
343,product-124469,2,3,59,6,22
344,product-218699,2,3,61,30,26
345,product-126008,2,3,60,14,24
346,product-217466,2,3,57,16,24
347,product-69498,2,3,39,7,22
348,product-123021,2,3,64,15,22
349,product-312919,2,3,71,0,22
350,product-122803,2,3,64,4,22
351,product-123870,2,3,59,6,22
352,product-124274,2,3,59,10,22
353,product-309702,2,3,62,2,22
354,product-123426,2,3,64,11,23
355,product-4442,2,3,40,34,35
356,product-129054,2,3,57,2,22
357,product-316146,2,5,48,4,23
358,product-309378,2,5,48,4,23
359,product-318372,2,5,68,20,28
360,product-221993,2,5,60,2,22
361,product-124076,2,5,59,9,22
362,product-309921,2,5,65,3,22
363,product-123661,2,5,59,2,22
364,product-220553,2,5,83,23,36
365,product-55119,2,5,53,14,23
366,product-334106,2,5,67,6,23
367,product-228190,2,8,63,49,30
368,product-312853,2,8,71,20,32
369,product-223077,2,8,52,18,30
370,product-123868,2,8,59,3,22
371,product-336484,2,8,56,9,23
372,product-52731,2,8,49,11,25
373,product-20265,2,8,46,21,24
374,product-217910,2,9,61,26,26
375,product-218152,2,9,61,0,22
376,product-124471,2,9,59,12,22
377,product-126007,2,9,60,12,23
378,product-29246,2,9,57,46,33
379,product-228646,2,9,63,35,30
380,product-71552,2,9,55,29,28
381,product-63319,2,9,42,43,20
382,product-217738,2,9,33,17,24
383,product-67496,2,9,42,6,24
384,product-124272,2,9,59,5,22
385,product-123631,2,9,64,11,23
386,product-202803,2,9,55,17,22
387,product-331812,2,9,53,13,25
388,product-204493,2,9,58,0,22
389,product-121567,2,12,59,6,22
390,product-218638,2,12,58,20,23
391,product-218652,2,12,57,26,25
392,product-124468,2,12,59,2,22
393,product-64137,2,12,42,34,20
394,product-316534,2,12,56,4,23
395,product-62298,2,12,54,2,23
396,product-125867,2,12,55,22,22
397,product-125866,2,12,55,24,22
398,product-72142,2,12,53,33,23
399,product-307789,2,12,48,4,23
400,product-61768,2,12,61,34,32
401,product-121169,2,12,64,19,26
402,product-321034,2,12,60,10,29
403,product-71931,2,12,54,44,25
404,product-10847,2,12,48,12,27
405,product-217468,2,12,57,12,25
406,product-21954,2,12,61,20,28
407,product-29315,2,12,57,42,33
408,product-63175,2,12,53,35,23
409,product-62956,2,12,53,32,24
410,product-125364,2,12,66,11,23
411,product-63174,2,12,53,32,23
412,product-124361,2,12,71,28,34
413,product-123179,2,12,68,24,25
414,product-29633,2,12,42,15,24
415,product-313078,2,12,59,20,15
416,product-69919,2,12,65,15,29
417,product-310140,2,12,59,56,26
418,product-122358,2,12,64,23,29
419,product-22565,2,12,52,15,26
420,product-122584,2,12,64,24,29
421,product-122578,2,12,64,7,22
422,product-122802,2,12,64,2,22
423,product-122352,2,12,64,10,22
424,product-123966,2,12,63,0,22
425,product-315399,2,12,66,32,40
426,product-65765,2,12,50,43,33
427,product-121814,2,12,53,23,32
428,product-315971,2,12,72,4,21
429,product-314072,2,12,67,0,22
430,product-29711,2,12,54,0,22
431,product-29808,2,12,58,39,44
432,product-4443,2,12,40,25,38
433,product-129430,2,12,68,26,26
434,product-12988,2,12,47,21,35
435,product-12992,2,12,46,28,37
436,product-12997,2,12,46,28,29
437,product-202652,2,12,33,7,24
438,product-332286,2,12,53,15,25
439,product-128621,2,12,59,17,26
440,product-128312,2,12,69,47,30
441,product-331591,2,12,53,14,25
442,product-31269,2,12,58,57,35
443,product-12832,2,12,46,26,37
444,product-204130,2,12,30,4,24
445,product-52725,2,12,51,22,25
446,product-199262,2,12,58,39,37
447,product-199261,2,12,58,41,37
448,product-52341,2,12,46,5,22
449,product-316104,2,16,57,6,23
450,product-64816,2,16,43,20,24
451,product-316843,2,16,64,16,32
452,product-64156,2,16,38,20,26
453,product-125230,2,16,60,2,22
454,product-122583,2,16,64,22,22
455,product-4695,2,16,40,3,22
456,product-222545,2,16,51,0,22
457,product-123867,2,16,59,2,22
458,product-309766,2,16,48,11,23
459,product-124271,2,16,59,2,22
460,product-129240,2,16,62,2,22
461,product-128457,2,16,59,13,25
462,product-55551,2,16,52,21,25
463,product-340352,2,16,69,5,23
464,product-197745,2,16,72,25,32
465,product-316505,2,18,49,9,23
466,product-317826,2,18,63,9,24
467,product-30155,2,18,43,17,24
468,product-124275,2,18,59,11,22
469,product-22369,2,18,38,0,22
470,product-313135,2,18,48,6,23
471,product-123226,2,18,64,15,22
472,product-312985,2,18,63,0,22
473,product-123956,2,18,71,29,34
474,product-227256,2,18,62,23,25
475,product-124169,2,18,63,0,22
476,product-124163,2,18,71,29,34
477,product-129190,2,18,68,28,26
478,product-129189,2,18,68,30,26
479,product-203182,2,18,58,34,33
480,product-203440,2,18,54,0,22
481,product-129428,2,18,68,30,26
482,product-129429,2,18,68,28,26
483,product-12723,2,18,40,13,24
484,product-130682,2,18,53,0,22
485,product-130413,2,18,57,2,22
486,product-199887,2,18,54,0,22
487,product-72053,2,20,44,14,30
488,product-216910,2,20,34,12,25
489,product-313077,2,20,59,17,15
490,product-122577,2,20,64,5,22
491,product-29388,2,20,42,18,24
492,product-202872,2,20,58,33,33
493,product-202487,2,20,55,14,24
494,product-203999,2,20,55,13,22
495,product-197526,2,20,28,22,27
496,product-64139,2,22,42,34,20
497,product-125632,2,22,58,26,28
498,product-221958,2,22,58,19,25
499,product-65778,2,22,47,21,25
500,product-220554,2,22,83,24,34
501,product-203483,2,22,58,37,33
502,product-205388,2,22,54,2,23
503,product-54901,2,22,53,15,25
504,product-130555,2,22,67,20,25
505,product-317176,2,25,66,35,40
506,product-64329,2,25,38,23,26
507,product-121566,2,25,59,8,22
508,product-29958,2,25,68,53,28
509,product-316862,2,25,48,12,22
510,product-319663,2,25,55,0,22
511,product-121152,2,25,67,32,29
512,product-61922,2,25,53,22,24
513,product-121190,2,25,59,10,22
514,product-21654,2,25,61,26,20
515,product-63183,2,25,53,20,24
516,product-121439,2,25,53,19,34
517,product-29314,2,25,57,44,33
518,product-317822,2,25,63,0,22
519,product-21976,2,25,57,24,21
520,product-71924,2,25,53,32,23
521,product-121382,2,25,59,8,22
522,product-29446,2,25,68,50,28
523,product-312548,2,25,71,2,22
524,product-123024,2,25,64,21,22
525,product-225512,2,25,63,45,29
526,product-123054,2,25,59,0,22
527,product-22390,2,25,66,5,22
528,product-123227,2,25,64,21,22
529,product-311534,2,25,73,9,22
530,product-122576,2,25,64,3,22
531,product-311116,2,25,69,26,35
532,product-29568,2,25,57,43,33
533,product-122349,2,25,64,5,22
534,product-67768,2,25,56,31,30
535,product-122350,2,25,64,6,22
536,product-122809,2,25,64,24,22
537,product-122808,2,25,64,21,22
538,product-22776,2,25,60,32,27
539,product-22773,2,25,61,34,19
540,product-123866,2,25,59,0,22
541,product-121884,2,25,67,6,23
542,product-315722,2,25,57,10,25
543,product-61716,2,25,53,13,23
544,product-70311,2,25,40,20,23
545,product-29817,2,25,57,50,44
546,product-203183,2,25,58,35,33
547,product-129379,2,25,68,36,25
548,product-55453,2,25,56,9,24
549,product-128957,2,25,68,30,26
550,product-128958,2,25,68,28,26
551,product-333378,2,25,57,24,26
552,product-53743,2,25,53,6,23
553,product-31682,2,25,70,56,32
554,product-52674,2,25,60,30,31
555,product-197797,2,25,49,0,22
556,product-52265,2,25,57,2,22
557,product-218639,2,28,58,21,23
558,product-124507,2,28,56,11,25
559,product-218312,2,28,61,25,26
560,product-317750,2,28,75,3,22
561,product-123025,2,28,64,24,22
562,product-311930,2,28,64,13,22
563,product-315692,2,28,62,2,22
564,product-124170,2,28,63,0,22
565,product-121904,2,28,67,33,25
566,product-66492,2,28,51,26,27
567,product-66491,2,28,51,24,27
568,product-70492,2,28,42,27,22
569,product-128622,2,28,59,15,26
570,product-54770,2,28,42,17,25
571,product-198896,2,28,58,40,37
572,product-199543,2,28,54,0,22
573,product-121340,2,30,67,31,28
574,product-216041,2,30,39,0,22
575,product-123055,2,30,59,0,22
576,product-29635,2,30,42,14,24
577,product-121988,2,30,54,21,26
578,product-224617,2,30,63,43,30
579,product-122553,2,30,67,30,25
580,product-313458,2,30,59,17,21
581,product-123968,2,30,63,2,22
582,product-215105,2,30,56,0,22
583,product-336231,2,30,60,23,26
584,product-54965,2,30,45,20,25
585,product-204295,2,30,55,5,22
586,product-4938,2,32,35,30,26
587,product-228163,2,32,62,14,24
588,product-29636,2,32,42,14,24
589,product-122102,2,32,67,32,25
590,product-122324,2,32,67,31,25
591,product-226988,2,32,48,15,25
592,product-309920,2,32,65,2,22
593,product-123660,2,32,59,2,22
594,product-205370,2,32,56,14,26
595,product-204207,2,32,58,2,22
596,product-71109,2,34,40,13,22
597,product-217047,2,34,57,16,24
598,product-122998,2,34,67,30,25
599,product-122798,2,34,64,5,22
600,product-4481,2,34,79,2,22
601,product-66490,2,34,51,22,27
602,product-335082,2,34,74,29,37
603,product-203410,2,34,55,9,23
604,product-129143,2,34,68,38,25
605,product-128422,2,34,59,15,25
606,product-203907,2,34,58,2,22
607,product-22022,2,38,53,41,27
608,product-63754,2,38,42,39,20
609,product-316889,2,38,56,6,24
610,product-218653,2,38,57,24,25
611,product-124409,2,38,66,19,23
612,product-227442,2,38,48,13,25
613,product-64131,2,38,42,30,21
614,product-72119,2,38,59,9,24
615,product-30218,2,38,68,55,28
616,product-30217,2,38,68,53,28
617,product-62661,2,38,42,40,33
618,product-61961,2,38,61,32,33
619,product-62116,2,38,53,22,25
620,product-21668,2,38,60,15,26
621,product-30153,2,38,43,17,23
622,product-125672,2,38,55,26,22
623,product-62960,2,38,53,21,24
624,product-312702,2,38,59,18,15
625,product-123178,2,38,68,27,25
626,product-69576,2,38,57,30,32
627,product-67376,2,38,54,11,24
628,product-312984,2,38,63,0,22
629,product-123206,2,38,67,29,24
630,product-69393,2,38,54,2,22
631,product-122574,2,38,64,5,22
632,product-122797,2,38,64,7,22
633,product-69119,2,38,53,14,23
634,product-123405,2,38,67,29,24
635,product-123832,2,38,64,4,23
636,product-123431,2,38,64,21,22
637,product-314998,2,38,59,11,24
638,product-123634,2,38,64,17,22
639,product-220750,2,38,56,22,32
640,product-66439,2,38,57,41,32
641,product-203138,2,38,54,5,23
642,product-129258,2,38,63,30,28
643,product-203411,2,38,55,11,23
644,product-31336,2,38,43,13,24
645,product-203184,2,38,58,36,33
646,product-336326,2,38,66,15,22
647,product-54064,2,38,46,2,22
648,product-129000,2,38,63,14,24
649,product-205376,2,38,55,0,22
650,product-55254,2,38,53,4,22
651,product-55253,2,38,53,3,22
652,product-128752,2,38,68,30,26
653,product-128753,2,38,68,28,26
654,product-199180,2,38,54,3,22
655,product-31657,2,38,70,45,31
656,product-218326,2,41,60,37,33
657,product-71583,2,41,56,22,35
658,product-29896,2,41,42,13,24
659,product-121950,2,41,59,4,22
660,product-313835,2,41,59,15,21
661,product-54241,2,41,53,2,22
662,product-20529,2,41,48,10,24
663,product-54917,2,41,52,37,25
664,product-198895,2,41,58,42,37
665,product-52335,2,41,46,12,23
666,product-197767,2,41,54,6,22
667,product-317451,2,42,64,17,24
668,product-124691,2,42,59,27,30
669,product-29747,2,42,57,41,33
670,product-313615,2,42,70,22,31
671,product-202485,2,42,55,11,23
672,product-202800,2,42,55,13,23
673,product-54016,2,42,53,5,23
674,product-52755,2,42,46,13,23
675,product-316138,2,45,63,25,29
676,product-218313,2,45,61,27,26
677,product-70205,2,45,54,3,22
678,product-221511,2,45,58,19,27
679,product-310104,2,45,62,0,22
680,product-121754,2,45,59,6,23
681,product-29390,2,45,42,17,24
682,product-221107,2,45,61,19,25
683,product-123429,2,45,64,17,22
684,product-203110,2,45,55,10,23
685,product-202874,2,45,58,37,33
686,product-54112,2,45,42,12,22
687,product-203242,2,45,32,24,28
688,product-204572,2,45,55,2,23
689,product-334368,2,45,68,4,24
690,product-333899,2,45,59,14,20
691,product-199542,2,45,54,2,22
692,product-125674,2,47,55,24,22
693,product-222013,2,47,62,45,28
694,product-65195,2,47,45,28,28
695,product-66519,2,47,47,12,24
696,product-203112,2,47,55,14,22
697,product-204921,2,47,64,34,32
698,product-130738,2,47,66,15,25
699,product-22822,2,50,48,0,22
700,product-218640,2,50,58,23,23
701,product-64194,2,50,53,41,22
702,product-11772,2,50,48,0,22
703,product-307793,2,50,48,2,23
704,product-125673,2,50,55,25,22
705,product-318183,2,50,63,6,23
706,product-318011,2,50,68,21,28
707,product-216623,2,50,57,21,25
708,product-310254,2,50,66,15,24
709,product-69634,2,50,48,11,26
710,product-29638,2,50,42,13,24
711,product-123205,2,50,67,27,24
712,product-122648,2,50,56,21,28
713,product-122422,2,50,56,23,28
714,product-122540,2,50,66,5,22
715,product-123404,2,50,67,27,24
716,product-122347,2,50,64,5,22
717,product-67767,2,50,56,33,30
718,product-122997,2,50,67,28,25
719,product-122873,2,50,56,20,28
720,product-70546,2,50,53,30,23
721,product-315421,2,50,48,5,23
722,product-315338,2,50,62,3,22
723,product-315061,2,50,48,6,23
724,product-226816,2,50,62,28,25
725,product-121951,2,50,59,4,22
726,product-123430,2,50,64,19,22
727,product-121952,2,50,59,4,22
728,product-123635,2,50,64,19,22
729,product-123605,2,50,67,26,24
730,product-257044,2,50,75,2,22
731,product-202798,2,50,55,9,23
732,product-54036,2,50,52,24,25
733,product-203575,2,50,31,17,28
734,product-332279,2,50,69,19,25
735,product-55033,2,50,56,10,25
736,product-55239,2,50,56,10,24
737,product-128893,2,50,53,9,23
738,product-203698,2,50,55,10,23
739,product-54805,2,50,61,20,27
740,product-197774,2,50,54,3,22
741,product-227444,2,53,48,14,25
742,product-67438,2,53,56,21,28
743,product-122996,2,53,67,26,25
744,product-309689,2,53,64,6,23
745,product-314532,2,53,63,41,41
746,product-335369,2,53,74,27,36
747,product-204857,2,53,54,2,23
748,product-228188,2,55,63,45,30
749,product-319031,2,55,49,8,23
750,product-69800,2,55,54,2,23
751,product-67251,2,55,56,24,27
752,product-315872,2,55,63,2,22
753,product-121757,2,55,60,2,22
754,product-314220,2,55,59,13,22
755,product-203333,2,55,58,0,22
756,product-228187,2,57,63,43,30
757,product-4696,2,57,39,29,34
758,product-335184,2,57,67,4,23
759,product-54092,2,57,45,13,23
760,product-202559,2,57,58,35,34
761,product-70910,2,59,40,14,23
762,product-121953,2,59,59,2,22
763,product-122541,2,59,66,7,22
764,product-315967,2,59,72,6,22
765,product-202797,2,59,55,8,23
766,product-21997,2,62,48,0,22
767,product-121525,2,62,67,30,28
768,product-70907,2,62,40,11,22
769,product-218636,2,62,58,18,23
770,product-64218,2,62,59,55,39
771,product-218710,2,62,60,37,33
772,product-316863,2,62,48,14,22
773,product-217448,2,62,59,15,24
774,product-63607,2,62,53,21,23
775,product-29248,2,62,57,48,33
776,product-62457,2,62,42,35,33
777,product-21643,2,62,63,27,22
778,product-62143,2,62,59,60,27
779,product-29265,2,62,59,50,45
780,product-318295,2,62,49,12,23
781,product-29309,2,62,58,44,45
782,product-217644,2,62,55,54,55
783,product-217645,2,62,55,55,39
784,product-318374,2,62,68,23,28
785,product-308550,2,62,59,52,26
786,product-308653,2,62,62,4,23
787,product-125477,2,62,55,29,23
788,product-221510,2,62,58,21,27
789,product-68870,2,62,39,11,21
790,product-122767,2,62,66,9,22
791,product-124010,2,62,66,15,23
792,product-315339,2,62,62,4,22
793,product-315251,2,62,75,30,38
794,product-124212,2,62,66,19,23
795,product-227255,2,62,62,25,25
796,product-227156,2,62,69,35,27
797,product-221098,2,62,60,3,22
798,product-313836,2,62,59,15,21
799,product-226987,2,62,48,15,25
800,product-226986,2,62,48,16,25
801,product-66323,2,62,46,14,24
802,product-220931,2,62,36,22,29
803,product-54438,2,62,60,22,32
804,product-129178,2,62,67,24,26
805,product-336327,2,62,66,13,22
806,product-129417,2,62,67,24,26
807,product-55171,2,62,45,23,27
808,product-128456,2,62,59,15,25
809,product-12833,2,62,46,26,37
810,product-204005,2,62,55,7,24
811,product-13308,2,62,46,32,37
812,product-340756,2,62,59,37,37
813,product-130535,2,62,66,16,25
814,product-22009,2,66,55,29,39
815,product-11810,2,66,43,0,22
816,product-63049,2,66,46,0,22
817,product-223500,2,66,52,17,30
