id,label,ts_in,ts_out,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7
95,customer-1089,27,112,85,132,53,162,199,83,59
96,customer-187,28,110,128,111,179,18,45,251,192
97,customer-1383,29,32,41,178,137,175,222,159,123
98,customer-1598,29,67,219,197,251,106,123,172,39
99,customer-942,29,79,217,10,157,27,69,132,89
100,customer-1019,29,81,253,49,151,175,112,64,183
101,customer-1455,29,92,178,135,134,92,179,92,139
102,customer-1098,29,93,114,137,195,6,48,98,23
103,customer-1884,29,102,85,148,177,153,196,249,38
104,customer-1328,29,106,197,174,167,51,82,202,51
105,customer-1353,29,117,129,2,230,137,94,150,56
106,customer-1428,30,83,155,126,113,173,193,107,93
107,customer-898,30,87,221,6,92,79,99,86,87
108,customer-1324,30,91,147,98,30,123,128,83,72
109,customer-1722,30,99,90,87,165,160,96,198,202
110,customer-912,30,102,128,135,101,98,86,35,122
111,customer-1771,31,50,125,116,54,178,173,230,71
112,customer-1325,31,60,174,8,70,90,137,198,167
113,customer-1459,31,70,127,159,163,204,227,196,24
114,customer-434,31,89,66,135,165,201,220,127,125
115,customer-632,31,93,168,178,66,118,64,34,130
116,customer-1168,31,106,7,220,147,203,72,132,174
117,customer-1491,31,108,14,93,162,133,207,238,46
118,customer-949,32,33,234,1,190,217,84,185,132
119,customer-1078,32,43,140,146,194,237,130,90,87
120,customer-457,32,45,59,65,190,192,168,10,225
121,customer-1874,32,51,115,64,24,54,101,99,75
122,customer-911,32,56,25,178,154,58,103,43,36
123,customer-1754,32,98,79,39,17,190,61,104,108
124,customer-254,33,36,97,234,106,219,73,97,134
125,customer-1894,33,36,153,115,138,193,228,125,7
126,customer-347,33,37,228,179,57,179,103,130,82
127,customer-906,33,41,54,196,183,57,66,246,37
128,customer-744,33,45,15,210,1,144,195,81,13
129,customer-287,33,54,104,110,62,74,78,163,173
130,customer-746,33,54,102,135,79,158,118,66,204
131,customer-1259,33,55,175,130,206,63,173,42,85
132,customer-1030,33,96,64,96,197,74,69,85,201
133,customer-1035,33,114,200,194,173,104,227,144,38
134,customer-1774,33,119,130,91,126,148,138,226,263
135,customer-1503,34,78,77,100,43,141,77,175,147
136,customer-965,34,99,70,141,171,89,182,248,173
137,customer-120,34,103,160,124,76,122,128,115,214
138,customer-126,34,116,61,148,74,123,250,128,49
139,customer-527,34,125,155,114,116,69,70,109,200
140,customer-430,35,45,183,149,101,186,238,33,107
141,customer-1420,35,45,108,111,224,111,104,136,196
142,customer-463,35,57,154,129,179,80,103,35,200
143,customer-1514,35,60,159,49,140,124,147,30,110
144,customer-1899,35,60,149,99,132,152,47,194,197
145,customer-1041,35,65,126,182,23,55,107,100,91
146,customer-195,35,68,27,41,168,160,189,17,178
147,customer-106,35,85,69,154,139,111,74,141,98
148,customer-763,35,87,227,115,112,138,27,58,135
149,customer-1061,35,107,35,242,191,211,88,198,191
150,customer-97,35,108,91,198,188,44,23,135,224
151,customer-606,35,123,270,113,83,144,99,53,169
152,customer-98,36,48,247,67,37,214,121,190,130
153,customer-336,36,54,71,126,96,96,232,83,207
154,customer-223,36,55,156,142,32,130,193,47,185
155,customer-1169,36,85,160,68,192,193,57,145,53
156,customer-199,36,87,79,174,179,25,94,41,16
157,customer-1501,36,111,140,111,182,55,212,140,239
158,customer-86,36,129,216,125,90,125,249,72,63
159,customer-234,37,62,8,145,173,150,114,147,195
160,customer-546,37,71,50,108,58,227,62,225,122
161,customer-549,37,78,10,10,56,143,146,200,131
162,customer-727,37,86,101,78,169,157,69,121,182
163,customer-873,37,100,110,37,128,114,187,98,77
164,customer-1904,38,43,37,100,129,109,156,108,150
165,customer-1923,38,63,133,136,180,155,73,126,105
166,customer-371,38,76,81,172,224,233,123,123,48
167,customer-812,38,78,109,195,158,32,214,163,89
168,customer-1481,38,78,134,22,68,37,144,47,134
169,customer-1497,38,88,35,178,143,52,195,140,73
170,customer-295,38,127,128,146,200,80,59,24,50
171,customer-1549,38,127,226,118,158,131,187,56,11
172,customer-1610,39,49,97,86,84,192,75,52,56
173,customer-432,39,60,58,166,150,73,199,37,151
174,customer-1618,39,66,106,139,143,27,84,89,120
175,customer-1871,39,81,199,131,47,70,32,191,89
176,customer-1766,39,96,188,96,87,88,10,72,181
177,customer-18,39,99,79,49,99,122,145,87,15
178,customer-1869,39,101,92,48,122,22,117,208,240
179,customer-745,39,117,133,116,21,122,143,16,244
180,customer-1608,40,42,36,207,34,139,84,39,28
181,customer-576,40,61,71,171,106,68,57,157,195
182,customer-1439,40,75,207,177,134,111,78,73,152
183,customer-1887,40,85,135,155,157,61,114,191,93
184,customer-1957,40,102,171,32,27,110,35,71,66
185,customer-1706,40,131,168,6,72,20,130,185,100
186,customer-837,41,42,125,5,107,134,108,29,212
187,customer-1391,41,43,51,150,72,240,107,141,144
188,customer-1764,41,48,135,214,40,193,122,248,202
189,customer-1868,41,61,164,152,97,85,17,36,46
190,customer-482,41,63,227,47,83,180,51,154,102
191,customer-81,41,65,42,29,171,106,97,124,143
192,customer-157,41,68,135,120,97,17,128,65,87
193,customer-806,41,86,91,73,153,245,29,153,72
194,customer-1516,41,100,177,30,236,178,115,77,138
195,customer-344,41,102,131,200,175,35,45,141,169
196,customer-472,41,107,228,166,96,20,83,48,194
197,customer-969,41,120,78,142,150,213,134,127,141
198,customer-1113,41,136,177,112,219,5,18,164,143
199,customer-755,42,67,116,210,216,89,114,24,76
200,customer-139,42,74,151,198,180,50,152,148,157
201,customer-101,42,76,69,238,111,16,169,184,101
202,customer-1930,42,83,79,130,198,247,120,221,63
203,customer-186,42,103,174,245,172,82,44,202,146
204,customer-421,42,103,51,185,133,228,136,206,59
205,customer-730,42,126,251,43,97,183,72,221,111
206,customer-1881,42,129,94,79,223,204,116,76,34
207,customer-1013,42,130,55,61,163,112,221,181,81
208,customer-498,43,63,184,93,228,125,111,204,98
209,customer-920,43,64,21,165,61,115,83,49,82
210,customer-1450,43,73,201,91,238,173,108,180,151
211,customer-1585,43,81,49,87,149,92,121,39,211
212,customer-638,43,109,105,181,109,20,86,76,166
213,customer-1105,43,114,218,227,199,14,213,194,43
214,customer-1316,43,122,24,60,245,156,120,69,5
215,customer-1541,43,127,238,114,143,120,45,17,206
216,customer-1672,44,44,87,102,126,145,190,11,22
217,customer-241,44,53,202,66,194,220,149,152,88
218,customer-1214,44,87,85,82,30,9,74,144,116
219,customer-162,44,94,194,61,75,122,179,177,236
220,customer-672,44,94,81,162,72,122,67,16,198
221,customer-613,44,112,75,107,208,176,105,110,60
222,customer-789,44,129,70,151,235,200,85,216,118
223,customer-1915,45,45,93,194,158,106,209,42,96
224,customer-1184,45,53,115,197,92,107,156,72,50
225,customer-31,45,54,134,102,195,184,176,111,150
226,customer-1374,45,56,132,196,198,166,116,202,85
227,customer-1621,45,68,196,164,34,188,140,92,71
228,customer-1979,45,73,45,48,136,86,123,117,194
229,customer-1683,45,81,217,132,87,52,98,63,196
230,customer-230,45,117,29,80,195,193,89,140,154
231,customer-540,45,118,114,82,163,94,35,172,78
232,customer-321,45,124,82,105,186,190,143,110,62
233,customer-1695,45,126,123,278,184,22,203,117,115
234,customer-1406,46,62,18,77,162,171,79,58,32
235,customer-914,46,75,48,215,29,16,81,202,250
236,customer-1761,46,80,165,220,226,60,116,203,93
237,customer-835,46,94,106,25,72,171,2,64,159
238,customer-29,46,99,151,91,150,84,163,204,66
239,customer-233,46,108,113,217,129,176,185,110,164
240,customer-1592,46,108,185,208,170,105,166,87,126
241,customer-676,46,128,187,155,112,64,34,201,121
242,customer-1266,46,130,195,97,87,145,185,3,139
243,customer-556,46,132,94,29,266,126,125,121,186
244,customer-1640,46,139,84,211,140,192,146,107,53
245,customer-200,47,50,207,188,240,109,95,192,141
246,customer-855,47,51,40,60,135,69,201,164,85
247,customer-929,47,67,85,202,200,185,144,120,125
248,customer-1676,47,77,89,54,109,95,72,212,225
249,customer-706,47,103,152,210,148,182,128,181,95
250,customer-1737,47,118,134,154,53,167,60,72,54
251,customer-1826,47,146,85,138,197,87,92,107,87
252,customer-1508,48,53,143,10,193,30,155,181,223
253,customer-437,48,60,91,218,77,43,164,234,188
254,customer-440,48,69,139,32,227,69,219,185,19
255,customer-978,48,69,121,62,159,190,203,116,188
256,customer-1360,48,90,200,248,103,86,142,136,118
257,customer-68,48,95,197,161,91,191,181,118,88
258,customer-1174,48,98,150,127,197,198,46,47,155
259,customer-785,48,102,184,199,117,199,84,245,181
260,customer-1129,48,121,126,196,104,145,146,2,127
261,customer-1607,48,130,196,158,137,11,71,65,71
262,customer-1346,49,51,82,81,68,132,58,220,54
263,customer-890,49,60,99,107,49,155,107,183,208
264,customer-1010,49,65,197,156,202,188,198,86,204
265,customer-1045,49,67,43,210,90,240,213,154,165
266,customer-963,49,100,57,133,117,81,28,13,75
267,customer-735,49,108,87,136,116,104,182,195,131
268,customer-1275,49,124,4,158,45,203,156,105,164
269,customer-179,49,126,131,239,128,43,7,212,128
270,customer-528,49,143,36,44,1,51,51,98,122
271,customer-1370,50,54,53,128,114,177,44,117,52
272,customer-1255,50,56,217,159,68,199,47,62,221
273,customer-1652,50,56,232,51,114,146,153,171,84
274,customer-1323,50,59,146,176,18,133,58,52,95
275,customer-1819,50,67,159,93,112,52,148,36,193
276,customer-753,50,82,198,183,42,190,123,88,119
277,customer-43,50,99,153,245,219,139,57,164,195
278,customer-1445,50,99,199,132,180,183,52,110,207
279,customer-1490,50,104,86,154,134,144,164,117,146
280,customer-1666,50,109,9,206,8,113,191,183,83
281,customer-1775,50,109,101,82,140,189,118,51,35
282,customer-1164,50,114,91,132,40,111,203,189,189
283,customer-1180,50,139,52,106,170,73,131,24,138
284,customer-1832,51,51,31,190,83,134,177,153,224
285,customer-1570,51,61,149,203,66,25,19,20,48
286,customer-784,51,64,128,179,161,212,203,123,162
287,customer-125,51,72,70,196,115,158,254,185,111
288,customer-1796,51,74,102,13,135,3,153,118,88
289,customer-39,51,92,181,212,107,30,140,198,147
290,customer-1343,51,92,167,21,207,75,97,244,12
291,customer-136,51,96,103,253,38,43,77,56,104
292,customer-449,51,97,118,234,31,172,146,15,155
293,customer-1411,51,107,7,222,65,93,70,113,81
294,customer-1918,51,109,197,83,71,73,175,193,45
295,customer-60,51,138,247,198,204,243,167,171,164
296,customer-1990,52,72,149,80,165,217,205,113,54
297,customer-130,52,86,18,58,30,116,69,191,154
298,customer-1272,52,95,188,143,93,122,56,32,138
299,customer-954,52,109,43,44,164,46,58,88,95
300,customer-519,52,118,117,181,175,35,111,55,145
301,customer-365,52,130,102,33,154,47,110,217,77
302,customer-1340,53,70,68,83,170,206,118,186,45
303,customer-72,53,106,205,52,31,21,13,73,90
304,customer-598,53,129,100,118,142,92,189,171,81
305,customer-1020,53,129,221,202,125,88,238,168,57
306,customer-1999,53,152,199,41,71,152,24,92,88
307,customer-759,54,70,128,155,137,194,193,42,92
308,customer-1120,54,70,213,130,209,133,82,198,241
309,customer-152,54,78,114,42,60,95,199,80,171
310,customer-1594,54,84,120,9,151,100,189,82,6
311,customer-1188,54,85,197,81,55,91,198,20,163
312,customer-917,54,94,72,11,197,144,149,165,52
313,customer-846,54,99,71,172,50,180,92,130,102
314,customer-1237,54,100,46,44,38,137,189,63,144
315,customer-1836,54,107,131,23,52,100,91,138,121
316,customer-815,54,139,40,206,183,128,97,200,79
317,customer-364,55,63,32,137,202,51,173,166,140
318,customer-780,55,80,154,218,131,185,129,195,166
319,customer-1794,55,88,166,185,144,36,80,221,161
320,customer-756,55,89,181,146,17,157,129,188,78
321,customer-1193,55,102,98,173,72,84,107,154,118
322,customer-937,55,103,65,178,86,155,180,33,133
323,customer-1998,55,104,178,63,149,57,64,135,58
324,customer-294,55,118,77,64,134,101,174,174,48
325,customer-1318,55,130,73,74,82,82,53,214,167
326,customer-1953,55,130,278,153,125,178,168,95,38
327,customer-262,55,138,121,8,171,90,189,60,20
328,customer-415,55,139,36,145,157,150,171,25,92
329,customer-197,55,143,97,145,187,104,58,36,112
330,customer-1799,55,144,133,143,115,75,185,121,98
331,customer-1674,56,61,60,104,199,136,266,201,86
332,customer-19,56,73,105,80,192,123,194,189,158
333,customer-861,56,94,198,91,18,202,180,32,25
334,customer-895,56,106,34,263,107,130,195,99,138
335,customer-881,56,114,106,210,39,188,33,209,209
336,customer-1002,56,118,163,119,95,164,139,157,45
337,customer-1463,56,130,161,64,171,233,105,201,41
338,customer-1100,56,133,191,49,184,165,62,36,94
339,customer-1736,56,133,189,72,80,136,183,121,130
340,customer-1842,56,135,140,190,167,178,236,146,188
341,customer-1268,57,58,212,95,68,46,83,190,102
342,customer-391,57,69,87,155,130,242,182,18,129
343,customer-1026,57,73,262,250,142,27,134,177,52
344,customer-296,57,84,10,107,224,41,55,231,129
345,customer-1735,57,96,88,198,150,179,139,110,117
346,customer-838,57,104,205,184,91,66,16,9,38
347,customer-1945,57,125,75,244,239,202,46,88,194
348,customer-1987,57,147,40,119,131,165,40,136,166
349,customer-489,57,149,199,139,190,68,153,76,85
350,customer-160,57,152,187,101,40,170,181,151,61
351,customer-1355,58,59,82,89,191,165,135,113,161
352,customer-959,58,87,189,84,91,59,213,87,63
353,customer-46,58,88,113,115,96,32,60,92,203
354,customer-1659,58,105,93,14,182,165,197,208,77
355,customer-1152,58,110,156,205,94,41,43,239,116
356,customer-202,58,112,190,127,130,147,136,142,31
357,customer-1856,58,113,96,178,163,147,236,125,99
358,customer-272,58,115,77,59,165,75,179,181,177
359,customer-1712,58,119,139,166,192,240,180,196,75
360,customer-1646,58,126,8,186,158,165,100,58,134
361,customer-852,58,151,105,157,188,202,125,61,127
362,customer-958,59,59,182,150,100,143,42,154,47
363,customer-1574,59,61,122,20,149,192,221,102,45
364,customer-962,59,83,201,195,49,63,160,136,124
365,customer-1294,59,83,186,174,203,193,105,73,194
366,customer-782,59,91,93,62,148,57,211,153,215
367,customer-1440,59,99,142,36,176,30,125,102,57
368,customer-1591,59,102,178,78,176,6,44,86,161
369,customer-1155,59,123,241,33,164,228,145,93,80
370,customer-245,59,131,62,211,232,112,245,25,39
371,customer-811,59,137,131,168,104,143,157,141,182
372,customer-1943,59,142,189,158,188,100,111,162,209
373,customer-280,59,144,140,77,218,107,168,89,55
374,customer-1159,59,144,168,165,198,199,95,93,57
375,customer-1718,60,71,23,69,140,136,164,30,214
376,customer-121,60,75,51,62,130,50,136,171,27
377,customer-1417,60,75,246,21,136,161,184,96,27
378,customer-1292,60,96,153,173,160,158,47,70,62
379,customer-1504,60,101,208,192,139,92,185,85,19
380,customer-860,60,135,182,186,157,205,247,64,167
381,customer-1465,60,147,56,62,47,124,62,141,116
382,customer-382,60,153,21,58,58,190,165,70,79
383,customer-1024,60,159,92,191,72,84,119,177,207
384,customer-768,61,66,148,123,156,38,129,85,147
385,customer-725,61,123,210,256,150,121,93,176,78
386,customer-1082,61,137,85,104,239,129,114,118,64
387,customer-444,62,72,112,110,221,105,247,6,97
388,customer-1733,62,90,154,94,12,77,22,81,112
389,customer-658,62,94,195,155,80,147,160,176,153
390,customer-585,62,100,181,46,91,135,1,49,242
391,customer-231,62,109,44,115,118,72,214,125,23
392,customer-1834,62,113,65,58,185,20,160,111,121
393,customer-943,62,119,166,93,123,135,77,114,204
394,customer-436,62,121,146,208,185,180,97,213,174
395,customer-446,62,131,30,137,169,219,88,112,151
396,customer-604,62,131,152,124,107,117,122,202,22
397,customer-1727,62,139,94,66,98,105,159,184,156
398,customer-994,62,140,109,69,55,94,35,167,138
399,customer-1263,62,141,25,230,117,22,77,203,101
400,customer-1080,62,150,73,143,124,185,120,105,37
401,customer-288,63,72,107,267,134,112,155,143,122
402,customer-1388,63,73,21,144,257,148,175,92,104
403,customer-1443,63,78,229,120,155,43,60,90,112
404,customer-1693,63,93,203,154,98,148,14,97,27
405,customer-523,63,98,131,98,126,204,219,104,49
406,customer-389,63,107,149,146,212,145,112,126,102
407,customer-1148,63,128,188,74,25,39,158,10,71
408,customer-1530,63,131,140,128,194,50,115,127,151
409,customer-1093,63,147,111,174,86,142,141,81,52
410,customer-719,64,81,99,134,168,125,200,169,89
411,customer-144,64,97,152,148,91,206,156,10,207
412,customer-1961,64,100,77,143,130,121,125,183,47
413,customer-874,64,137,13,36,91,84,96,133,191
414,customer-1016,64,157,235,197,4,57,87,89,35
415,customer-797,64,164,128,203,254,41,57,137,155
416,customer-561,65,83,78,188,164,48,121,188,62
417,customer-34,65,102,133,40,93,33,241,46,60
418,customer-485,65,106,48,54,142,199,186,68,181
419,customer-1109,65,125,135,76,144,133,90,156,99
420,customer-656,65,129,31,108,174,125,115,89,27
421,customer-458,65,132,41,138,84,201,219,66,129
422,customer-587,65,150,129,181,104,100,242,125,163
423,customer-1071,65,150,32,51,34,134,165,115,61
424,customer-1001,65,152,204,225,158,92,150,153,170
425,customer-1903,66,72,73,215,144,138,236,78,75
426,customer-1624,66,73,137,231,199,98,213,88,28
427,customer-166,66,82,177,246,148,174,186,189,14
428,customer-1781,66,83,155,128,198,163,140,167,44
429,customer-833,66,101,102,105,119,24,15,49,167
430,customer-996,66,123,103,39,51,149,54,70,272
431,customer-1364,66,132,70,209,160,29,53,7,46
432,customer-1515,66,158,72,95,131,46,57,205,189
433,customer-801,67,76,56,60,53,192,107,216,140
434,customer-907,67,104,192,39,216,148,58,146,12
435,customer-1092,67,109,49,99,172,168,207,183,76
436,customer-190,67,110,177,113,91,182,21,190,66
437,customer-447,67,121,146,106,165,6,263,201,195
438,customer-1177,67,125,187,3,36,130,159,85,96
439,customer-1502,67,128,138,240,101,162,117,83,178
440,customer-1389,67,132,118,203,143,189,147,213,110
441,customer-720,67,136,88,63,206,139,247,167,161
442,customer-128,67,141,189,84,29,96,117,202,165
443,customer-221,67,148,192,184,112,80,100,94,130
444,customer-661,67,151,27,93,59,127,19,115,110
445,customer-1985,68,79,91,114,75,107,96,126,83
446,customer-552,68,80,38,171,58,118,199,60,154
447,customer-566,68,105,108,218,175,217,135,162,96
448,customer-204,68,115,64,140,250,52,115,37,184
449,customer-1189,68,120,49,204,126,77,194,78,5
450,customer-1427,68,127,94,217,187,69,166,268,76
451,customer-1485,68,149,146,111,190,121,200,194,187
452,customer-1606,68,151,191,222,147,45,102,65,201
453,customer-544,69,73,61,103,210,69,81,160,108
454,customer-486,69,83,46,166,207,157,89,143,15
455,customer-246,69,85,37,110,134,82,118,193,202
456,customer-1623,69,103,30,79,75,233,72,83,167
457,customer-1278,69,113,59,186,227,99,160,98,163
458,customer-69,69,116,64,162,149,98,195,156,132
459,customer-1808,70,87,165,91,73,104,18,245,193
460,customer-1925,70,92,58,230,126,46,276,120,262
461,customer-564,70,151,74,35,174,27,165,194,202
462,customer-1116,70,157,44,92,165,122,58,29,145
463,customer-459,70,160,172,140,183,110,62,227,65
464,customer-1124,71,72,189,114,93,226,116,196,89
465,customer-450,71,83,89,84,158,162,97,13,151
466,customer-714,71,88,50,98,151,76,46,65,115
467,customer-1807,71,93,187,5,110,197,106,133,127
468,customer-41,71,99,205,157,115,110,101,179,118
469,customer-1703,71,100,207,213,196,119,139,63,191
470,customer-1830,71,110,116,198,77,65,137,167,21
471,customer-799,71,119,135,115,73,209,48,141,197
472,customer-1995,71,134,96,137,120,81,198,169,67
473,customer-699,71,162,45,134,69,129,192,110,118
474,customer-1777,72,86,183,53,202,33,93,46,130
475,customer-518,72,96,206,201,277,79,81,126,68
476,customer-1331,72,99,88,135,32,220,168,24,44
477,customer-70,72,101,185,8,139,26,46,85,159
478,customer-1633,72,113,224,228,195,98,49,220,117
479,customer-373,72,149,72,204,44,101,48,42,141
480,customer-662,72,155,186,156,59,68,78,110,201
481,customer-710,72,164,209,165,196,65,221,150,234
482,customer-339,73,80,41,96,111,90,134,187,95
483,customer-1285,73,129,174,115,59,158,156,33,56
484,customer-620,73,143,252,195,52,206,199,72,169
485,customer-174,73,144,217,106,161,209,113,152,238
486,customer-1533,73,157,198,208,172,187,209,97,106
487,customer-127,73,161,55,143,114,84,182,108,38
488,customer-214,74,96,188,12,52,64,55,149,142
489,customer-621,74,102,56,161,88,196,175,163,127
490,customer-788,74,105,158,145,192,207,94,209,215
491,customer-1756,74,112,161,178,117,189,66,130,65
492,customer-868,74,125,124,53,174,70,121,125,152
493,customer-1081,74,127,203,158,134,134,224,245,162
494,customer-505,74,149,30,78,183,64,161,172,42
495,customer-1757,74,154,132,85,69,206,17,258,252
496,customer-997,74,157,20,191,65,200,153,75,143
497,customer-622,74,160,203,84,55,142,181,227,173
498,customer-184,74,165,62,208,197,70,154,238,104
499,customer-27,74,167,144,233,126,163,152,147,30
500,customer-1405,75,89,97,90,161,226,85,135,60
501,customer-642,75,106,158,172,56,48,31,47,40
502,customer-608,75,108,23,55,226,49,68,178,182
503,customer-1462,75,114,109,115,74,112,189,4,107
504,customer-579,75,125,56,25,261,126,203,278,55
505,customer-796,75,141,59,21,260,87,163,149,127
506,customer-1379,75,142,214,212,195,160,44,142,45
507,customer-1907,75,165,223,152,78,232,97,52,61
508,customer-555,75,173,38,49,173,36,247,109,78
509,customer-1905,76,85,34,47,162,124,217,205,81
510,customer-1724,76,100,103,143,100,202,93,178,138
511,customer-1547,76,116,150,150,51,141,32,164,41
512,customer-1696,76,142,183,138,44,35,84,239,159
513,customer-1603,76,150,119,91,21,40,229,23,65
514,customer-999,77,92,84,52,145,103,178,67,45
515,customer-1390,77,93,205,69,133,13,89,221,152
516,customer-232,77,105,20,172,55,49,119,40,194
517,customer-1261,77,121,144,162,125,200,163,116,215
518,customer-1719,77,128,54,143,166,211,189,93,148
519,customer-388,77,138,240,185,87,228,25,185,85
520,customer-54,77,140,155,106,133,47,36,16,15
521,customer-1456,77,158,63,93,159,242,89,153,108
522,customer-1480,77,163,79,176,203,80,169,174,75
523,customer-668,77,169,84,196,157,95,209,83,206
524,customer-1208,78,95,121,83,126,214,112,121,186
525,customer-654,78,125,172,147,124,259,100,232,93
526,customer-510,78,149,104,168,192,16,251,106,140
527,customer-1545,78,167,175,142,38,205,242,204,133
528,customer-659,79,91,193,188,132,124,37,95,96
529,customer-988,79,93,201,31,30,235,132,166,134
530,customer-1282,79,119,134,48,146,125,82,59,179
531,customer-1387,79,120,97,113,49,54,185,170,176
532,customer-792,79,130,97,106,205,104,77,171,138
533,customer-1161,79,130,72,166,128,161,116,199,175
534,customer-931,79,141,32,59,6,46,175,136,210
535,customer-1329,80,105,79,247,28,105,265,140,45
536,customer-1932,80,125,178,131,140,144,95,161,188
537,customer-314,80,128,122,168,114,101,20,172,237
538,customer-1058,80,129,155,184,190,162,184,36,93
539,customer-624,80,139,23,115,138,99,30,130,158
540,customer-237,80,146,113,124,193,128,164,191,199
541,customer-1252,80,156,135,200,160,198,123,220,203
542,customer-122,80,157,18,116,190,144,180,64,98
543,customer-1242,80,161,72,156,113,119,187,84,26
544,customer-602,80,177,165,130,11,30,93,175,36
545,customer-1122,81,85,235,212,45,111,55,152,172
