ID,Label,Slope,Aspect,Elevation,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am
365,product-309378,2,5,48,4,23,17,86
366,product-316122,2,88,66,34,40,14,85
367,product-317451,2,42,64,17,24,18,87
368,product-70907,2,62,40,11,22,9,86
369,product-121566,2,25,59,8,22,41,87
370,product-124691,2,42,59,27,30,32,87
371,product-218152,2,9,61,0,22,54,86
372,product-71290,2,3,40,16,23,9,85
373,product-308916,2,88,60,20,18,10,85
374,product-316150,2,88,48,13,23,12,85
375,product-316889,2,38,56,6,24,17,87
376,product-71109,2,34,40,13,22,10,87
377,product-124471,2,9,59,12,22,43,86
378,product-227546,2,88,66,0,22,63,85
379,product-218636,2,62,58,18,23,19,86
380,product-218637,2,95,58,19,23,19,85
381,product-218638,2,12,58,20,23,19,86
382,product-29958,2,25,68,53,28,56,87
383,product-70910,2,59,40,14,23,8,86
384,product-218639,2,28,58,21,23,20,87
385,product-70974,2,84,54,32,24,76,85
386,product-29979,2,88,54,2,22,74,85
387,product-64477,2,97,42,30,21,14,85
388,product-22822,2,50,48,0,22,75,86
389,product-218652,2,12,57,26,25,26,86
390,product-227444,2,53,48,14,25,15,86
391,product-316505,2,18,49,9,23,12,87
392,product-218674,2,68,60,22,35,37,85
393,product-218653,2,38,57,24,25,27,87
394,product-124507,2,28,56,11,25,28,87
395,product-218654,2,68,57,22,25,27,85
396,product-64330,2,3,38,21,26,6,85
397,product-218640,2,50,58,23,23,20,86
398,product-218312,2,28,61,25,26,42,87
399,product-64218,2,62,59,55,39,81,85
400,product-124567,2,80,63,2,22,77,85
401,product-218313,2,45,61,27,26,42,86
402,product-121568,2,88,59,5,22,40,85
403,product-218326,2,41,60,37,33,36,87
404,product-64816,2,16,43,20,24,18,87
405,product-124409,2,38,66,19,23,69,87
406,product-218710,2,62,60,37,33,36,85
407,product-227678,2,95,59,11,24,28,85
408,product-227442,2,38,48,13,25,15,87
409,product-316863,2,62,48,14,22,12,85
410,product-64194,2,50,53,41,22,62,86
411,product-316862,2,25,48,12,22,12,87
412,product-124468,2,12,59,2,22,45,86
413,product-64131,2,38,42,30,21,17,87
414,product-316859,2,84,49,6,24,11,85
415,product-316843,2,16,64,16,32,9,87
416,product-124469,2,3,59,6,22,44,85
417,product-64137,2,12,42,34,20,15,86
418,product-64139,2,22,42,34,20,14,87
419,product-64156,2,16,38,20,26,6,87
420,product-64481,2,80,42,30,22,13,85
421,product-218699,2,3,61,30,26,41,85
422,product-316534,2,12,56,4,23,18,86
423,product-217448,2,62,59,15,24,19,85
424,product-63607,2,62,53,21,23,58,85
425,product-62298,2,12,54,2,23,56,86
426,product-126007,2,9,60,12,23,46,86
427,product-320824,2,95,62,22,29,24,85
428,product-215798,2,88,56,35,23,25,85
429,product-62309,2,88,53,14,24,74,85
430,product-29248,2,62,57,48,33,81,85
431,product-72119,2,38,59,9,24,57,87
432,product-121339,2,75,67,29,28,66,85
433,product-62457,2,62,42,35,33,13,85
434,product-320388,2,75,61,18,24,6,85
435,product-62479,2,75,35,9,24,5,85
436,product-11772,2,50,48,0,22,64,86
437,product-121340,2,30,67,31,28,66,87
438,product-228190,2,8,63,49,30,31,86
439,product-228189,2,75,63,47,30,31,85
440,product-125867,2,12,55,22,22,18,86
441,product-125866,2,12,55,24,22,19,86
442,product-30218,2,38,68,55,28,56,87
443,product-228188,2,55,63,45,30,31,86
444,product-228187,2,57,63,43,30,31,86
445,product-30217,2,38,68,53,28,56,87
446,product-216041,2,30,39,0,22,0,87
447,product-320048,2,72,61,15,23,7,85
448,product-62661,2,38,42,40,33,14,87
449,product-319663,2,25,55,0,22,4,87
450,product-72053,2,20,44,14,30,19,86
451,product-125674,2,47,55,24,22,18,87
452,product-29247,2,92,57,47,33,81,85
453,product-29246,2,9,57,46,33,81,86
454,product-72142,2,12,53,33,23,68,86
455,product-126008,2,3,60,14,24,46,85
456,product-307768,2,72,62,24,32,22,85
457,product-11842,2,78,38,2,22,12,85
458,product-307789,2,12,48,4,23,19,86
459,product-61767,2,88,61,37,33,77,85
460,product-228646,2,9,63,35,30,32,86
461,product-61768,2,12,61,34,32,77,86
462,product-21643,2,62,63,27,22,91,85
463,product-121152,2,25,67,32,29,65,87
464,product-307793,2,50,48,2,23,19,86
465,product-228621,2,82,62,20,25,36,85
466,product-61922,2,25,53,22,24,76,87
467,product-21647,2,88,62,26,22,91,85
468,product-61961,2,38,61,32,33,76,87
469,product-125673,2,50,55,25,22,19,86
470,product-121169,2,12,64,19,26,58,86
471,product-215442,2,97,60,30,32,35,85
472,product-62116,2,38,53,22,25,76,87
473,product-62117,2,75,53,24,24,76,85
474,product-62143,2,62,59,60,27,82,85
475,product-21667,2,88,60,15,25,95,85
476,product-21668,2,38,60,15,26,94,87
477,product-4938,2,32,35,30,26,15,87
478,product-121190,2,25,59,10,22,40,87
479,product-72151,2,75,54,44,24,77,85
480,product-121191,2,72,59,9,22,39,85
481,product-321034,2,12,60,10,29,2,86
482,product-11810,2,66,43,0,22,32,85
483,product-121194,2,75,60,9,23,38,85
484,product-21654,2,25,61,26,20,92,87
485,product-63608,2,75,53,25,23,59,85
486,product-29265,2,62,59,50,45,85,85
487,product-71931,2,12,54,44,25,77,86
488,product-63183,2,25,53,20,24,76,87
489,product-318295,2,62,49,12,23,10,85
490,product-71552,2,9,55,29,28,73,86
491,product-125230,2,16,60,2,22,48,87
492,product-318183,2,50,63,6,23,12,86
493,product-10847,2,12,48,12,27,52,86
494,product-29309,2,62,58,44,45,75,85
495,product-63319,2,9,42,43,20,14,86
496,product-217466,2,3,57,16,24,29,85
497,product-318011,2,50,68,21,28,35,86
498,product-217468,2,12,57,12,25,30,86
499,product-317934,2,88,49,14,23,11,85
500,product-121439,2,25,53,19,34,14,87
501,product-217644,2,62,55,54,55,7,85
502,product-217645,2,62,55,55,39,7,85
503,product-21949,2,68,61,28,20,92,85
504,product-21954,2,12,61,20,28,93,86
505,product-317826,2,18,63,9,24,12,87
506,product-124908,2,88,56,11,25,22,85
507,product-29314,2,25,57,44,33,73,87
508,product-317822,2,25,63,0,22,14,87
509,product-217738,2,9,33,17,24,11,86
510,product-21976,2,25,57,24,21,89,87
511,product-29315,2,12,57,42,33,73,86
512,product-217858,2,88,58,23,23,21,85
513,product-10784,2,80,38,11,23,10,85
514,product-317750,2,28,75,3,22,64,87
515,product-318372,2,5,68,20,28,35,86
516,product-318374,2,62,68,23,28,35,85
517,product-63182,2,88,53,18,24,75,85
518,product-63175,2,12,53,35,23,62,86
519,product-125632,2,22,58,26,28,35,87
520,product-71924,2,25,53,32,23,69,87
521,product-216623,2,50,57,21,25,28,86
522,product-216658,2,68,61,24,27,44,85
523,product-319031,2,55,49,8,23,9,86
524,product-228163,2,32,62,14,24,36,87
525,product-216910,2,20,34,12,25,13,86
526,product-62956,2,12,53,32,24,64,86
527,product-216936,2,92,61,0,22,53,85
528,product-308521,2,88,60,18,17,10,85
529,product-30155,2,18,43,17,24,31,87
530,product-30153,2,38,43,17,23,32,87
531,product-71743,2,75,55,31,28,73,85
532,product-125672,2,38,55,26,22,19,87
533,product-217044,2,91,57,22,25,27,85
534,product-62960,2,38,53,21,24,76,87
535,product-217047,2,34,57,16,24,29,87
536,product-308550,2,62,59,52,26,19,85
537,product-217048,2,88,57,14,25,29,85
538,product-228130,2,78,59,14,24,28,85
539,product-121382,2,25,59,8,22,40,87
540,product-308653,2,62,62,4,23,30,85
541,product-63049,2,66,46,0,22,47,85
542,product-125447,2,88,58,26,29,34,85
543,product-125364,2,12,66,11,23,75,86
544,product-63174,2,12,53,32,23,61,86
545,product-121383,2,75,59,7,22,40,85
546,product-71583,2,41,56,22,35,58,87
547,product-125477,2,62,55,29,23,19,85
548,product-124361,2,12,71,28,34,66,86
549,product-124075,2,97,59,6,22,43,85
550,product-124275,2,18,59,11,22,42,87
551,product-312724,2,84,61,60,27,14,85
552,product-310245,2,88,65,10,26,34,85
553,product-29446,2,25,68,50,28,57,87
554,product-221993,2,5,60,2,22,40,86
555,product-222013,2,47,62,45,28,36,87
556,product-123179,2,12,68,24,25,82,86
557,product-312702,2,38,59,18,15,10,87
558,product-123178,2,38,68,27,25,82,87
559,product-310254,2,50,66,15,24,37,86
560,product-69634,2,50,48,11,26,37,86
561,product-123055,2,30,59,0,22,41,87
562,product-69591,2,82,54,2,22,55,85
563,product-312725,2,84,61,58,27,15,85
564,product-69576,2,38,57,30,32,62,87
565,product-29638,2,50,42,13,24,27,86
566,product-29636,2,32,42,14,24,27,87
567,product-29635,2,30,42,14,24,28,87
568,product-29634,2,97,42,15,24,28,85
569,product-312548,2,25,71,2,22,61,87
570,product-29633,2,12,42,15,24,29,86
571,product-123025,2,28,64,24,22,53,87
572,product-123024,2,25,64,21,22,53,87
573,product-225512,2,25,63,45,29,33,87
574,product-69498,2,3,39,7,22,7,85
575,product-123022,2,95,64,17,22,54,85
576,product-123021,2,3,64,15,22,54,85
577,product-123054,2,25,59,0,22,41,87
578,product-312853,2,8,71,20,32,41,86
579,product-312919,2,3,71,0,22,62,85
580,product-69800,2,55,54,2,23,55,86
581,product-70205,2,45,54,3,22,54,86
582,product-22369,2,18,38,0,22,27,87
583,product-121953,2,59,59,2,22,40,86
584,product-221510,2,62,58,21,27,27,85
585,product-221511,2,45,58,19,27,28,86
586,product-121988,2,30,54,21,26,23,87
587,product-67251,2,55,56,24,27,55,86
588,product-122090,2,75,66,9,23,71,85
589,product-22390,2,25,66,5,22,67,87
590,product-313135,2,18,48,6,23,15,87
591,product-67376,2,38,54,11,24,66,87
592,product-67438,2,53,56,21,28,54,86
593,product-313078,2,12,59,20,15,10,86
594,product-313077,2,20,59,17,15,10,86
595,product-123227,2,25,64,21,22,53,87
596,product-123226,2,18,64,15,22,54,87
597,product-310104,2,45,62,0,22,14,86
598,product-221958,2,22,58,19,25,28,87
599,product-312985,2,18,63,0,22,29,87
600,product-312984,2,38,63,0,22,30,87
601,product-123206,2,38,67,29,24,66,87
602,product-122101,2,70,67,30,25,67,85
603,product-69919,2,12,65,15,29,47,86
604,product-122102,2,32,67,32,25,66,87
605,product-310140,2,12,59,56,26,17,86
606,product-67496,2,9,42,6,24,19,86
607,product-123205,2,50,67,27,24,67,86
608,product-123020,2,91,64,0,22,57,85
609,product-69437,2,80,48,12,26,37,85
610,product-123019,2,91,64,0,22,57,85
611,product-69393,2,38,54,2,22,55,87
612,product-122358,2,12,64,23,29,52,86
613,product-224617,2,30,63,43,30,34,87
614,product-122648,2,50,56,21,28,26,86
615,product-311534,2,25,73,9,22,25,87
616,product-22565,2,12,52,15,26,58,86
617,product-68664,2,72,39,11,22,7,85
618,product-223500,2,66,52,17,30,13,85
619,product-122584,2,12,64,24,29,52,86
620,product-122583,2,16,64,22,22,53,87
621,product-122582,2,80,64,19,22,53,85
622,product-122581,2,78,64,17,22,54,85
623,product-68716,2,75,55,37,28,78,85
624,product-4696,2,57,39,29,34,22,86
625,product-4695,2,16,40,3,22,27,87
626,product-122580,2,88,64,15,22,54,85
627,product-122578,2,12,64,7,22,56,86
628,product-122577,2,20,64,5,22,56,86
629,product-122422,2,50,56,23,28,26,86
630,product-122576,2,25,64,3,22,56,87
631,product-122575,2,70,64,3,22,57,85
632,product-310913,2,68,63,28,35,20,85
633,product-122574,2,38,64,5,22,58,87
634,product-68870,2,62,39,11,21,6,85
635,product-311116,2,25,69,26,35,34,87
636,product-122540,2,50,66,5,22,72,86
637,product-122553,2,30,67,30,25,67,87
638,product-122541,2,59,66,7,22,71,86
639,product-122767,2,62,66,9,22,71,85
640,product-123404,2,50,67,27,24,67,86
641,product-29568,2,25,57,43,33,73,87
642,product-122797,2,38,64,7,22,59,87
643,product-69380,2,66,57,30,29,61,85
644,product-122324,2,32,67,31,25,66,87
645,product-122347,2,50,64,5,22,57,86
646,product-122998,2,34,67,30,25,66,87
647,product-67767,2,50,56,33,30,77,86
648,product-122997,2,50,67,28,25,67,86
649,product-122349,2,25,64,5,22,56,87
650,product-122996,2,53,67,26,25,67,86
651,product-67768,2,25,56,31,30,76,87
652,product-222545,2,16,51,0,22,24,87
653,product-122350,2,25,64,6,22,56,87
654,product-122873,2,50,56,20,28,26,86
655,product-122872,2,68,56,21,27,27,85
656,product-122809,2,25,64,24,22,53,87
657,product-122808,2,25,64,21,22,53,87
658,product-122807,2,80,64,19,22,53,85
