ID,Label,Horizontal_Distance_To_Hydrology,Elevation,Aspect,Slope,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am
181,customer-274539,0,21,91,5,22,16,84
182,customer-279218,0,21,26,36,22,22,98
183,customer-280155,0,21,10,26,22,21,85
184,customer-280705,0,21,98,8,22,16,83
185,customer-280630,0,21,81,17,22,8,75
186,customer-280629,0,21,87,29,22,7,65
187,customer-280611,0,21,63,32,22,19,73
188,customer-279326,0,21,16,15,22,17,90
189,customer-263428,0,21,0,18,22,4,80
190,customer-263427,0,21,27,18,22,3,94
191,customer-263915,0,21,31,11,22,3,92
192,customer-260719,0,21,81,23,22,16,70
193,customer-261183,0,21,84,26,22,16,67
194,customer-261200,0,21,7,9,22,15,85
195,customer-267092,0,21,3,35,22,19,75
196,customer-273859,0,22,94,24,22,8,72
197,customer-274356,0,22,94,26,22,8,71
198,customer-274350,0,22,98,15,22,7,80
199,customer-273340,0,22,89,30,22,8,65
200,customer-273339,0,22,94,26,22,9,71
201,customer-269648,0,22,93,17,22,2,77
202,customer-269122,0,22,94,12,22,2,80
203,customer-270162,0,22,97,11,22,2,81
204,customer-277804,0,22,76,17,22,18,75
205,customer-274873,0,22,94,15,22,6,78
206,customer-277260,0,22,13,27,22,18,88
207,customer-262136,0,22,10,8,22,16,87
208,customer-261669,0,22,4,18,22,16,82
209,customer-261668,0,22,29,15,22,16,93
210,customer-261655,0,22,80,24,22,16,69
211,customer-261654,0,22,88,27,22,16,67
212,customer-261653,0,22,94,32,22,16,67
213,customer-268707,0,23,95,29,22,18,70
214,customer-268706,0,23,4,41,22,18,73
215,customer-269245,0,23,3,30,22,17,77
216,customer-270700,0,23,95,20,22,2,76
217,customer-271230,0,23,99,17,22,1,80
218,customer-270161,0,23,31,6,22,1,89
219,customer-277603,0,23,22,18,22,4,93
220,customer-275425,0,23,92,27,22,7,69
221,customer-274879,0,23,93,27,22,7,69
222,customer-277065,0,23,19,17,22,4,91
223,customer-277066,0,23,0,17,22,5,81
224,customer-276521,0,23,94,15,22,5,78
225,customer-263558,0,23,93,18,22,17,76
226,customer-263082,0,23,94,14,22,17,79
227,customer-269766,0,24,6,30,22,17,80
228,customer-268735,0,24,94,14,22,20,79
229,customer-269274,0,24,98,14,22,19,80
230,customer-270289,0,24,91,33,22,16,64
231,customer-270288,0,24,7,32,22,16,80
232,customer-270317,0,24,92,12,22,18,80
233,customer-278685,0,24,12,12,22,3,88
234,customer-278684,0,24,26,17,22,2,94
235,customer-315044,0,24,32,5,22,5,88
236,customer-315040,0,24,63,9,22,6,83
237,customer-275973,0,24,92,29,22,6,68
238,customer-315741,0,24,11,5,22,5,87
239,customer-315743,0,24,96,15,22,5,79
240,customer-276527,0,24,92,29,22,6,68
241,customer-276526,0,24,96,26,22,6,72
242,customer-13851,0,24,46,15,22,3,90
243,customer-267104,0,24,95,29,22,19,70
244,customer-267103,0,24,3,41,22,19,70
245,customer-272425,0,25,25,6,22,16,89
246,customer-271897,0,25,12,18,22,17,87
247,customer-271871,0,25,98,18,22,15,79
248,customer-273965,0,25,17,8,22,15,88
249,customer-317129,0,25,99,17,22,6,80
250,customer-317102,0,25,12,5,22,8,87
251,customer-317829,0,25,8,17,22,6,85
252,customer-270855,0,25,12,11,22,18,87
253,customer-270854,0,25,23,17,22,17,93
254,customer-270826,0,25,91,32,22,16,65
255,customer-270825,0,25,7,27,22,16,82
256,customer-271343,0,25,6,18,22,16,83
257,customer-278693,0,25,96,18,22,5,77
258,customer-315720,0,25,84,17,22,8,75
259,customer-277611,0,25,94,23,22,5,74
260,customer-278149,0,25,92,21,22,5,74
261,customer-278148,0,25,96,18,22,5,77
262,customer-315022,0,25,84,12,22,8,78
263,customer-315041,0,25,57,23,22,5,82
264,customer-315043,0,25,40,18,22,5,93
265,customer-315039,0,25,7,9,22,6,85
266,customer-316434,0,25,96,23,22,5,75
267,customer-316410,0,25,95,14,22,8,80
268,customer-315739,0,25,2,9,22,6,84
269,customer-315740,0,25,18,6,22,5,88
270,customer-315742,0,25,1,9,22,5,84
271,customer-277073,0,25,96,24,22,6,73
272,customer-13910,0,25,28,18,22,7,94
273,customer-13893,0,25,49,21,22,9,89
274,customer-13834,0,25,22,23,22,1,94
275,customer-13978,0,25,25,12,22,6,91
276,customer-272398,0,26,93,26,22,15,70
277,customer-272397,0,26,14,17,22,15,88
278,customer-272944,0,26,29,20,22,15,95
279,customer-272919,0,26,96,18,22,14,78
280,customer-273939,0,26,91,24,22,14,70
281,customer-273938,0,26,12,17,22,13,88
282,customer-317103,0,26,94,18,22,8,76
283,customer-317104,0,26,93,29,22,8,69
284,customer-273427,0,26,90,30,22,14,65
285,customer-273426,0,26,99,14,22,14,81
286,customer-317802,0,26,98,9,22,8,83
287,customer-317803,0,26,92,24,22,8,72
288,customer-317801,0,26,35,12,22,8,92
289,customer-317800,0,26,39,27,22,8,96
290,customer-317799,0,26,41,38,22,7,96
291,customer-319214,0,26,38,6,22,8,89
292,customer-269776,0,26,4,17,22,16,83
293,customer-319242,0,26,96,20,22,7,77
294,customer-319243,0,26,84,21,22,6,71
295,customer-268715,0,26,7,26,22,17,83
296,customer-269254,0,26,6,20,22,17,83
297,customer-318534,0,26,10,21,22,6,86
298,customer-318535,0,26,89,17,22,6,76
299,customer-318502,0,26,41,29,22,8,95
300,customer-318503,0,26,41,15,22,8,92
301,customer-270299,0,26,3,14,22,16,83
302,customer-315023,0,26,83,27,22,8,65
303,customer-275553,0,26,11,11,22,13,87
304,customer-316411,0,26,96,23,22,8,74
305,customer-275007,0,26,98,9,22,14,82
306,customer-322736,0,26,69,20,22,10,75
307,customer-322038,0,26,69,24,22,10,72
308,customer-324151,0,26,79,15,22,11,75
309,customer-324849,0,26,83,20,22,11,72
310,customer-323447,0,26,73,15,22,10,77
311,customer-13836,0,26,8,12,22,2,85
312,customer-272409,0,27,15,6,22,14,87
313,customer-272929,0,27,97,6,22,14,84
314,customer-272928,0,27,25,15,22,14,93
315,customer-274453,0,27,12,14,22,13,88
316,customer-269775,0,27,14,21,22,16,89
317,customer-270836,0,27,6,12,22,16,85
318,customer-271353,0,27,10,15,22,15,86
319,customer-270298,0,27,13,21,22,16,88
320,customer-278281,0,27,5,21,22,11,82
321,customer-277714,0,27,2,11,22,10,83
322,customer-275527,0,27,10,12,22,12,87
323,customer-274980,0,27,14,14,22,13,89
324,customer-277178,0,27,93,17,22,11,76
325,customer-277177,0,27,21,15,22,11,92
326,customer-277204,0,27,5,14,22,12,84
327,customer-276078,0,27,94,9,22,12,81
328,customer-276077,0,27,29,17,22,12,94
329,customer-276627,0,27,26,5,22,11,88
330,customer-322071,0,27,96,26,22,6,73
331,customer-13887,0,27,94,12,22,11,80
332,customer-13824,0,27,32,41,22,7,100
333,customer-14028,0,27,54,6,22,16,86
334,customer-273949,0,28,3,12,22,13,83
335,customer-273948,0,28,20,17,22,13,92
336,customer-274463,0,28,9,12,22,13,86
337,customer-273437,0,28,16,12,22,13,89
338,customer-278280,0,28,13,21,22,11,88
339,customer-278253,0,28,23,3,22,10,87
340,customer-278827,0,28,2,20,22,10,81
341,customer-278825,0,28,22,15,22,10,92
342,customer-278800,0,28,80,3,22,9,85
343,customer-280204,0,28,6,14,22,8,85
344,customer-279298,0,28,11,12,22,10,87
345,customer-279297,0,28,22,24,22,9,94
346,customer-279274,0,28,93,12,22,9,80
347,customer-279300,0,28,98,21,22,10,76
348,customer-279741,0,28,8,20,22,8,85
349,customer-279740,0,28,12,15,22,8,88
350,customer-279769,0,28,98,21,22,10,77
351,customer-274991,0,28,11,15,22,12,87
352,customer-322769,0,28,1,30,22,6,75
353,customer-322770,0,28,92,26,22,6,70
354,customer-13869,0,28,45,11,22,15,89
355,customer-323482,0,28,98,24,22,6,75
356,customer-13823,0,28,32,48,22,7,100
357,customer-13854,0,28,48,8,22,9,88
358,customer-13999,0,28,58,36,22,24,76
359,customer-13998,0,28,46,11,22,25,89
360,customer-13997,0,28,64,11,22,25,82
361,customer-13994,0,28,52,14,22,25,87
362,customer-13939,0,28,76,21,22,12,72
363,customer-280233,0,29,94,24,22,10,72
364,customer-280229,0,29,25,17,22,9,93
365,customer-280203,0,29,14,12,22,8,89
366,customer-280676,0,29,4,15,22,8,83
367,customer-280651,0,29,8,9,22,7,86
368,customer-280650,0,29,21,20,22,7,93
369,customer-279764,0,29,23,26,22,9,95
370,customer-279765,0,29,16,18,22,9,90
371,customer-275537,0,29,9,15,22,12,86
372,customer-274990,0,29,21,17,22,12,92
373,customer-13810,0,29,59,6,22,3,85
374,customer-280683,0,30,93,26,22,10,71
375,customer-13856,0,30,57,23,22,21,83
376,customer-13933,0,30,14,12,22,20,89
377,customer-13937,0,30,45,2,22,21,86
378,customer-315084,0,31,7,9,22,5,85
379,customer-19574,0,31,5,20,22,11,83
380,customer-19573,0,31,9,23,22,12,85
381,customer-13921,0,31,50,20,22,22,89
382,customer-317869,0,32,18,12,22,4,90
383,customer-317167,0,32,22,5,22,4,88
384,customer-385404,0,32,21,14,22,13,91
385,customer-319281,0,32,13,15,22,3,88
386,customer-384767,0,32,49,9,22,13,88
387,customer-384768,0,32,50,8,22,13,87
388,customer-318574,0,32,15,17,22,4,89
389,customer-316472,0,32,6,5,22,5,85
390,customer-19572,0,32,6,20,22,12,83
391,customer-19571,0,32,5,20,22,13,82
392,customer-19570,0,32,11,29,22,13,85
393,customer-19569,0,32,11,33,22,13,85
394,customer-315782,0,32,4,8,22,5,85
395,customer-13911,0,32,54,33,22,18,83
396,customer-13798,0,32,62,17,22,24,81
397,customer-16224,0,32,25,9,22,12,91
398,customer-16223,0,32,23,11,22,12,91
399,customer-76776,0,33,2,23,22,8,80
400,customer-385403,0,33,22,15,22,14,92
401,customer-52551,0,33,26,5,22,5,88
402,customer-52552,0,33,20,6,22,5,88
403,customer-386041,0,33,44,6,22,14,89
404,customer-386040,0,33,39,15,22,15,93
405,customer-19794,0,33,96,21,22,13,76
406,customer-19793,0,33,9,17,22,13,86
407,customer-19797,0,33,5,20,22,13,82
408,customer-19798,0,33,8,23,22,14,83
409,customer-19799,0,33,1,23,22,14,78
410,customer-19800,0,33,94,27,22,14,70
411,customer-19801,0,33,95,29,22,15,70
412,customer-322804,0,33,8,8,22,2,86
413,customer-322105,0,33,21,11,22,2,90
414,customer-41691,0,33,34,17,22,9,94
415,customer-41692,0,33,32,11,22,8,92
416,customer-324216,0,33,65,3,22,1,85
417,customer-13889,0,33,35,18,22,17,94
418,customer-13895,0,33,61,27,22,25,78
419,customer-323515,0,33,9,5,22,1,86
420,customer-13800,0,33,46,17,22,29,91
421,customer-13795,0,33,52,8,22,33,87
422,customer-323516,0,33,97,11,22,2,82
423,customer-13807,0,33,99,12,22,20,81
424,customer-42453,0,34,6,17,22,10,84
425,customer-42452,0,34,24,12,22,10,92
426,customer-387327,0,34,28,5,22,17,88
427,customer-387328,0,34,83,3,22,17,83
428,customer-387329,0,34,81,8,22,16,81
429,customer-388618,0,34,16,14,22,17,89
430,customer-76772,0,34,5,17,22,10,83
431,customer-76773,0,34,2,21,22,10,80
432,customer-387974,0,34,2,12,22,16,83
433,customer-387973,0,34,6,11,22,17,85
434,customer-387972,0,34,12,12,22,17,87
435,customer-76774,0,34,0,23,22,9,78
436,customer-76775,0,34,2,21,22,9,80
437,customer-386687,0,34,52,12,22,15,87
438,customer-386686,0,34,56,12,22,15,85
439,customer-386683,0,34,34,12,22,16,92
440,customer-386682,0,34,47,8,22,16,88
441,customer-386681,0,34,53,9,22,16,87
442,customer-386680,0,34,57,9,22,16,85
443,customer-386033,0,34,37,14,22,16,93
444,customer-386034,0,34,36,15,22,16,93
445,customer-386035,0,34,49,12,22,16,89
446,customer-386036,0,34,57,15,22,15,84
447,customer-20029,0,34,3,21,22,13,80
448,customer-20506,0,34,99,15,22,13,80
449,customer-20266,0,34,5,11,22,12,85
450,customer-77047,0,34,0,23,22,10,77
451,customer-77046,0,34,98,23,22,11,76
452,customer-77045,0,34,99,21,22,11,78
453,customer-77043,0,34,11,6,22,12,87
454,customer-77044,0,34,97,15,22,11,80
455,customer-42828,0,34,19,11,22,11,89
456,customer-42829,0,34,98,18,22,10,78
457,customer-14448,0,34,94,23,22,13,73
458,customer-14447,0,34,98,17,22,14,80
459,customer-14446,0,34,20,9,22,14,89
460,customer-54393,0,34,96,11,22,9,81
461,customer-14539,0,34,2,9,22,15,84
462,customer-14538,0,34,27,6,22,16,89
463,customer-14537,0,34,39,12,22,16,91
464,customer-54095,0,34,12,6,22,8,87
465,customer-14540,0,34,97,21,22,15,76
466,customer-13817,0,34,31,9,22,10,91
467,customer-13861,0,34,45,14,22,21,90
468,customer-54691,0,34,97,17,22,9,79
469,customer-53790,0,34,20,14,22,8,91
470,customer-16207,0,34,2,14,22,6,83
471,customer-388617,0,35,16,14,22,18,89
472,customer-388616,0,35,6,9,22,18,85
473,customer-388615,0,35,8,8,22,18,86
474,customer-388614,0,35,14,6,22,19,87
475,customer-388613,0,35,21,6,22,19,89
476,customer-389267,0,35,42,15,22,20,92
477,customer-389268,0,35,40,11,22,20,91
478,customer-389269,0,35,36,6,22,19,89
479,customer-389271,0,35,16,5,22,19,87
480,customer-389270,0,35,25,5,22,19,88
481,customer-14449,0,35,92,24,22,13,71
482,customer-14800,0,35,86,26,22,13,67
483,customer-14536,0,35,42,15,22,16,92
484,customer-14534,0,35,21,6,22,17,89
485,customer-14533,0,35,9,8,22,18,86
486,customer-14532,0,35,4,5,22,18,85
487,customer-14531,0,35,42,3,22,19,87
488,customer-14541,0,35,98,30,22,14,71
489,customer-14544,0,35,92,14,22,13,78
490,customer-14545,0,35,79,26,22,13,68
491,customer-14652,0,35,6,27,22,16,80
492,customer-14651,0,35,7,33,22,17,80
493,customer-14650,0,35,5,38,22,17,76
494,customer-14647,0,35,96,32,22,19,69
495,customer-14646,0,35,93,24,22,19,72
496,customer-14645,0,35,99,11,22,19,83
497,customer-14661,0,35,78,23,22,13,70
498,customer-54984,0,35,1,14,22,10,82
499,customer-54985,0,35,5,18,22,10,83
500,customer-13881,0,35,51,24,22,18,88
501,customer-13989,0,35,32,17,22,20,94
502,customer-54689,0,35,9,18,22,9,85
503,customer-54690,0,35,9,21,22,9,85
504,customer-16874,0,36,11,14,22,5,87
505,customer-16873,0,36,11,15,22,5,87
506,customer-16872,0,36,99,9,22,5,83
507,customer-17533,0,36,6,6,22,8,85
508,customer-391262,0,36,27,14,22,24,93
509,customer-389266,0,36,43,18,22,20,93
510,customer-389265,0,36,44,23,22,21,93
511,customer-389264,0,36,45,26,22,21,93
512,customer-389263,0,36,46,29,22,21,92
513,customer-389262,0,36,48,29,22,22,90
514,customer-389261,0,36,48,29,22,22,90
515,customer-389260,0,36,48,29,22,22,89
516,customer-389257,0,36,50,21,22,24,89
517,customer-390590,0,36,20,9,22,24,89
518,customer-389919,0,36,34,15,22,24,94
519,customer-389920,0,36,39,8,22,24,89
520,customer-389924,0,36,36,6,22,22,89
521,customer-389923,0,36,29,5,22,23,89
522,customer-389922,0,36,5,2,22,23,86
523,customer-389921,0,36,41,2,22,24,87
524,customer-14784,0,36,97,36,22,19,66
525,customer-14782,0,36,5,32,22,20,78
526,customer-14781,0,36,4,32,22,21,78
527,customer-14780,0,36,4,33,22,21,76
528,customer-14779,0,36,4,38,22,21,74
529,customer-14783,0,36,5,33,22,20,78
530,customer-14940,0,36,87,27,22,13,67
531,customer-206114,0,36,13,18,22,10,88
532,customer-206116,0,36,10,20,22,10,86
533,customer-206115,0,36,12,20,22,10,87
534,customer-17972,0,37,2,12,22,10,83
535,customer-17971,0,37,14,14,22,10,89
536,customer-17970,0,37,16,11,22,11,89
537,customer-16871,0,37,41,14,22,8,91
538,customer-16870,0,37,32,17,22,8,94
539,customer-16869,0,37,31,14,22,9,93
540,customer-17751,0,37,98,9,22,10,82
541,customer-17750,0,37,11,8,22,10,87
542,customer-17532,0,37,13,11,22,9,88
543,customer-17531,0,37,18,9,22,9,89
544,customer-17530,0,37,32,3,22,9,88
545,customer-391261,0,37,33,18,22,25,95
546,customer-391929,0,37,47,30,22,26,91
547,customer-391928,0,37,49,30,22,27,89
548,customer-81962,0,37,6,11,22,22,85
549,customer-81960,0,37,30,23,22,23,96
550,customer-81961,0,37,22,12,22,23,91
551,customer-391930,0,37,44,29,22,26,93
552,customer-392603,0,37,46,3,22,27,87
553,customer-81666,0,37,23,11,22,23,91
554,customer-81667,0,37,8,8,22,22,86
555,customer-391932,0,37,45,14,22,25,91
556,customer-391931,0,37,42,26,22,26,94
557,customer-391933,0,37,35,11,22,25,91
558,customer-390589,0,37,28,20,22,25,95
559,customer-14358,0,37,90,36,22,34,60
560,customer-14360,0,37,5,23,22,32,81
561,customer-14361,0,37,99,12,22,32,82
562,customer-14362,0,37,91,8,22,32,82
563,customer-14305,0,37,43,20,22,35,93
564,customer-14416,0,37,95,42,22,35,60
565,customer-14415,0,37,97,38,22,35,65
566,customer-14432,0,37,5,30,22,27,79
567,customer-14431,0,37,4,35,22,27,75
568,customer-14430,0,37,4,38,22,28,74
569,customer-14429,0,37,3,36,22,28,74
570,customer-14428,0,37,96,24,22,30,74
571,customer-14427,0,37,3,29,22,30,77
572,customer-14426,0,37,7,36,22,30,78
573,customer-14433,0,37,1,21,22,27,79
574,customer-14043,0,37,16,29,22,10,90
575,customer-206112,0,37,11,17,22,11,87
576,customer-206113,0,37,12,17,22,10,87
577,customer-206401,0,37,6,20,22,11,83
578,customer-206402,0,37,9,21,22,11,85
579,customer-126976,0,38,96,8,22,17,83
580,customer-82843,0,38,10,21,22,24,86
581,customer-82844,0,38,9,23,22,24,85
582,customer-126610,0,38,6,9,22,17,85
583,customer-17969,0,38,12,8,22,11,87
584,customer-82548,0,38,24,12,22,24,91
585,customer-82549,0,38,21,8,22,23,89
586,customer-127701,0,38,53,8,22,18,87
587,customer-127700,0,38,36,6,22,18,89
588,customer-128064,0,38,2,5,22,19,85
589,customer-127339,0,38,56,5,22,18,86
590,customer-31891,0,38,99,26,22,28,75
591,customer-31890,0,38,7,15,22,28,85
592,customer-17309,0,38,41,14,22,11,91
593,customer-17308,0,38,39,6,22,11,89
594,customer-17307,0,38,27,5,22,11,89
595,customer-125142,0,38,24,12,22,15,91
596,customer-16867,0,38,16,6,22,9,88
597,customer-16866,0,38,16,11,22,10,89
598,customer-17088,0,38,22,12,22,10,91
599,customer-17087,0,38,8,8,22,10,86
600,customer-125873,0,38,22,18,22,16,93
601,customer-126242,0,38,11,12,22,16,87
602,customer-126241,0,38,19,18,22,16,91
603,customer-17742,0,38,50,5,22,13,87
604,customer-17741,0,38,39,5,22,13,88
605,customer-17740,0,38,32,6,22,13,89
606,customer-17739,0,38,30,8,22,14,90
607,customer-125507,0,38,25,15,22,15,93
608,customer-17523,0,38,36,12,22,12,92
609,customer-17522,0,38,34,5,22,12,89
610,customer-17521,0,38,57,2,22,12,86
611,customer-81959,0,38,34,29,22,24,98
612,customer-31134,0,38,89,18,22,27,74
613,customer-31133,0,38,18,2,22,27,87
614,customer-128780,0,38,92,3,22,19,84
615,customer-128781,0,38,3,6,22,19,85
616,customer-82255,0,38,38,18,22,24,94
617,customer-82256,0,38,30,17,22,23,94
618,customer-128423,0,38,7,8,22,19,86
619,customer-129497,0,38,22,11,22,20,90
620,customer-129498,0,38,67,3,22,20,84
621,customer-129499,0,38,44,3,22,19,87
622,customer-129856,0,38,16,15,22,20,89
623,customer-31515,0,38,16,12,22,28,89
624,customer-31516,0,38,91,20,22,27,74
625,customer-14359,0,38,4,30,22,33,79
626,customer-14507,0,38,98,56,22,35,52
627,customer-14506,0,38,97,52,22,35,54
628,customer-14505,0,38,97,35,22,36,67
629,customer-14417,0,38,91,48,22,34,51
