ID,Label,Horizontal_Distance_To_Hydrology,Elevation,Aspect,Slope
341,customer-18034,0,53,12,15
342,customer-18033,0,53,5,15
343,customer-126569,0,45,16,20
344,customer-18032,0,54,0,17
345,customer-18030,0,54,12,18
346,customer-18029,0,54,12,14
347,customer-18028,0,54,12,8
348,customer-18027,0,54,20,11
349,customer-203013,0,68,4,17
350,customer-469677,0,52,5,29
351,customer-126695,0,53,19,9
352,customer-126694,0,53,25,3
353,customer-272234,0,46,86,23
354,customer-469688,0,51,11,29
355,customer-18031,0,53,4,15
356,customer-318240,0,64,11,17
357,customer-470034,0,51,13,27
358,customer-387381,0,60,10,11
359,customer-272001,0,70,31,6
360,customer-272000,0,70,32,8
361,customer-271999,0,70,31,11
362,customer-470363,0,67,85,12
363,customer-470364,0,68,80,20
364,customer-126499,0,50,6,8
365,customer-318301,0,52,24,20
366,customer-470387,0,53,10,11
367,customer-470388,0,53,4,23
368,customer-271996,0,71,28,9
369,customer-51837,0,46,38,5
370,customer-271995,0,71,31,8
371,customer-82824,0,41,39,14
372,customer-72194,0,57,15,23
373,customer-17934,0,40,3,24
374,customer-17933,0,40,1,14
375,customer-17932,0,40,29,8
376,customer-72195,0,57,19,23
377,customer-82825,0,41,44,14
378,customer-72196,0,57,23,24
379,customer-470402,0,51,11,20
380,customer-203181,0,67,20,8
381,customer-318302,0,51,15,9
382,customer-18286,0,49,88,12
383,customer-51836,0,46,91,3
384,customer-158683,0,54,2,20
385,customer-387380,0,60,9,15
386,customer-272055,0,53,11,6
387,customer-272054,0,53,19,8
388,customer-126549,0,46,16,5
389,customer-126548,0,46,29,12
390,customer-387379,0,60,6,18
391,customer-318241,0,63,16,21
392,customer-126528,0,46,4,8
393,customer-203090,0,55,16,9
394,customer-17972,0,37,2,12
395,customer-470314,0,65,92,14
396,customer-17971,0,37,14,14
397,customer-17969,0,38,12,8
398,customer-272025,0,67,98,18
399,customer-272024,0,67,3,17
400,customer-272023,0,67,99,15
401,customer-272022,0,67,12,20
402,customer-272021,0,67,10,15
403,customer-183910,0,51,13,24
404,customer-387343,0,67,93,23
405,customer-387342,0,67,95,18
406,customer-203126,0,70,85,6
407,customer-17970,0,37,16,11
408,customer-203282,0,68,5,18
409,customer-18287,0,49,91,18
410,customer-468359,0,68,59,11
411,customer-202395,0,66,7,11
412,customer-465569,0,63,60,9
413,customer-465570,0,63,67,6
414,customer-465571,0,63,77,6
415,customer-82541,0,39,39,14
416,customer-202396,0,66,0,14
417,customer-465697,0,62,93,23
418,customer-388462,0,55,26,26
419,customer-82542,0,39,31,12
420,customer-82543,0,39,27,9
421,customer-273995,0,18,23,30
422,customer-465762,0,65,88,12
423,customer-82544,0,39,60,3
424,customer-82545,0,39,40,6
425,customer-202397,0,66,98,17
426,customer-465795,0,49,14,23
427,customer-82546,0,39,30,15
428,customer-184145,0,54,20,8
429,customer-82548,0,38,24,12
430,customer-82549,0,38,21,8
431,customer-273965,0,25,17,8
432,customer-18607,0,41,38,6
433,customer-18608,0,41,0,8
434,customer-18609,0,41,1,18
435,customer-388463,0,55,30,30
436,customer-82528,0,41,43,12
437,customer-274082,0,67,5,9
438,customer-465467,0,65,88,12
439,customer-465468,0,65,86,12
440,customer-184159,0,52,29,15
441,customer-202387,0,67,14,9
442,customer-202388,0,67,14,11
443,customer-184158,0,52,29,21
444,customer-465499,0,49,11,17
445,customer-274063,0,71,0,3
446,customer-157979,0,53,8,20
447,customer-274062,0,71,12,3
448,customer-274060,0,71,18,6
449,customer-274059,0,71,19,8
450,customer-184150,0,53,24,6
451,customer-202392,0,66,0,6
452,customer-465537,0,58,79,32
453,customer-465538,0,59,78,35
454,customer-274028,0,21,16,14
455,customer-388465,0,54,42,6
456,customer-202393,0,66,4,6
457,customer-388464,0,54,38,12
458,customer-274061,0,71,18,5
459,customer-82527,0,41,33,14
460,customer-157980,0,53,5,23
461,customer-273949,0,28,3,12
462,customer-466074,0,65,87,14
463,customer-317502,0,68,11,29
464,customer-273884,0,20,2,33
465,customer-127701,0,38,53,8
466,customer-317503,0,68,6,26
467,customer-127700,0,38,36,6
468,customer-202454,0,66,5,9
469,customer-202455,0,66,2,8
470,customer-466157,0,60,75,33
471,customer-158001,0,49,2,15
472,customer-273859,0,22,94,24
473,customer-72134,0,39,10,26
474,customer-466185,0,62,62,18
475,customer-466186,0,63,68,20
476,customer-31857,0,42,29,9
477,customer-127656,0,46,12,20
478,customer-127655,0,47,11,12
479,customer-273853,0,21,9,11
480,customer-31858,0,42,10,6
481,customer-466337,0,63,92,18
482,customer-31859,0,42,0,8
483,customer-466073,0,65,90,12
484,customer-388313,0,67,31,32
485,customer-51439,0,54,50,0
486,customer-388314,0,66,39,17
487,customer-273948,0,28,20,17
488,customer-184144,0,54,21,5
489,customer-202410,0,65,94,15
490,customer-388343,0,64,62,24
491,customer-465841,0,59,78,33
492,customer-465842,0,60,77,35
493,customer-273939,0,26,91,24
494,customer-127768,0,55,26,8
495,customer-127767,0,55,44,9
496,customer-465870,0,63,62,20
497,customer-127799,0,51,87,9
498,customer-465871,0,63,64,14
499,customer-388342,0,64,50,18
500,customer-127766,0,55,41,15
501,customer-127765,0,55,42,15
502,customer-466008,0,63,93,20
503,customer-273919,0,18,84,14
504,customer-317482,0,57,11,12
505,customer-273905,0,18,90,32
506,customer-72133,0,40,14,23
507,customer-18556,0,44,90,36
508,customer-18555,0,43,89,17
509,customer-273938,0,26,12,17
510,customer-68214,0,49,88,15
511,customer-184160,0,51,28,12
512,customer-51386,0,52,84,23
513,customer-128018,0,47,6,9
514,customer-128017,0,47,6,6
515,customer-274463,0,28,9,12
516,customer-388617,0,35,16,14
517,customer-388616,0,35,6,9
518,customer-388615,0,35,8,8
519,customer-274453,0,27,12,14
520,customer-127998,0,47,9,11
521,customer-388614,0,35,14,6
522,customer-388613,0,35,21,6
523,customer-274430,0,18,86,21
524,customer-274429,0,18,12,11
525,customer-464725,0,57,76,23
526,customer-464726,0,57,75,27
527,customer-127981,0,47,7,9
528,customer-274412,0,18,95,36
529,customer-274411,0,18,98,27
530,customer-464872,0,61,93,23
531,customer-464873,0,61,92,23
532,customer-317129,0,25,99,17
533,customer-202253,0,61,20,27
534,customer-388618,0,34,16,14
535,customer-202217,0,68,11,11
536,customer-202216,0,68,6,8
537,customer-18735,0,49,78,6
538,customer-76818,0,54,40,15
539,customer-202193,0,66,5,9
540,customer-274539,0,21,91,5
541,customer-128126,0,55,16,9
542,customer-202194,0,66,3,9
543,customer-464605,0,61,92,21
544,customer-388635,0,68,94,20
545,customer-128125,0,55,22,12
546,customer-128124,0,55,31,8
547,customer-388634,0,68,3,15
548,customer-464936,0,64,88,11
549,customer-464668,0,64,84,11
550,customer-128123,0,55,52,8
551,customer-42614,0,51,0,2
552,customer-202207,0,68,79,11
553,customer-464691,0,50,18,20
554,customer-317102,0,25,12,5
555,customer-317103,0,26,94,18
556,customer-128064,0,38,2,5
557,customer-51313,0,66,10,12
558,customer-317104,0,26,93,29
559,customer-18736,0,49,88,17
560,customer-274518,0,16,6,18
561,customer-465404,0,62,93,23
562,customer-464937,0,64,84,12
563,customer-202254,0,61,17,24
564,customer-465138,0,62,93,23
565,customer-184164,0,51,92,5
566,customer-184163,0,51,17,3
567,customer-317221,0,63,91,21
568,customer-465202,0,65,87,12
569,customer-317222,0,64,86,26
570,customer-157942,0,53,9,18
571,customer-202324,0,70,98,18
572,customer-157943,0,53,0,15
573,customer-274138,0,62,84,9
574,customer-202325,0,70,99,5
575,customer-184162,0,51,25,8
576,customer-127862,0,59,12,23
577,customer-274108,0,54,18,15
578,customer-317240,0,71,88,24
579,customer-465262,0,58,80,27
580,customer-465263,0,58,78,32
581,customer-317241,0,72,85,29
582,customer-127821,0,50,27,15
583,customer-274083,0,68,91,14
584,customer-465297,0,63,68,5
585,customer-127884,0,55,94,12
586,customer-465030,0,63,67,3
587,customer-202292,0,54,9,6
588,customer-317204,0,64,6,9
589,customer-18699,0,55,7,23
590,customer-18698,0,55,10,17
591,customer-18697,0,55,18,11
592,customer-202255,0,61,16,21
593,customer-202256,0,60,18,24
594,customer-317167,0,32,22,5
595,customer-274356,0,22,94,26
596,customer-464959,0,49,22,15
597,customer-157926,0,55,96,14
598,customer-464961,0,50,73,11
599,customer-127948,0,50,19,11
600,customer-202257,0,60,17,18
601,customer-274350,0,22,98,15
602,customer-127928,0,52,8,12
603,customer-127927,0,52,9,2
604,customer-274277,0,48,89,24
605,customer-127925,0,52,42,20
606,customer-317203,0,65,17,11
607,customer-464994,0,57,78,27
608,customer-157927,0,55,94,18
609,customer-127924,0,52,42,23
610,customer-202291,0,55,24,12
611,customer-31800,0,49,12,5
612,customer-273781,0,48,88,24
613,customer-466400,0,66,89,14
614,customer-68213,0,48,90,8
615,customer-273405,0,17,62,3
616,customer-184077,0,57,18,6
617,customer-467796,0,60,55,29
618,customer-467797,0,60,55,30
619,customer-273389,0,17,84,26
620,customer-202647,0,67,14,5
621,customer-127278,0,46,94,6
622,customer-387988,0,68,93,21
623,customer-467813,0,63,52,44
624,customer-467814,0,63,51,71
625,customer-467815,0,61,43,86
626,customer-387987,0,67,98,15
627,customer-127277,0,46,23,8
628,customer-202648,0,67,9,5
629,customer-202649,0,67,12,8
630,customer-467975,0,64,85,8
631,customer-273340,0,22,89,30
632,customer-273339,0,22,94,26
633,customer-184074,0,58,27,9
634,customer-158144,0,59,7,6
635,customer-158145,0,59,91,9
636,customer-273406,0,18,79,27
637,customer-467756,0,50,92,9
638,customer-184078,0,57,96,6
639,customer-127296,0,46,19,18
640,customer-127410,0,54,25,9
641,customer-127409,0,55,35,18
642,customer-202555,0,55,18,9
643,customer-467652,0,64,84,8
644,customer-76772,0,34,5,17
645,customer-127408,0,55,39,20
646,customer-317659,0,44,19,9
647,customer-317660,0,44,11,11
648,customer-273437,0,28,16,12
649,customer-467716,0,66,6,11
650,customer-127258,0,46,15,18
651,customer-467717,0,66,71,3
652,customer-202589,0,70,11,5
653,customer-388026,0,60,8,18
654,customer-18384,0,41,1,23
655,customer-18383,0,41,9,20
656,customer-273427,0,26,90,30
657,customer-273426,0,26,99,14
658,customer-127339,0,38,56,5
659,customer-202590,0,70,84,6
660,customer-184079,0,57,86,12
661,customer-127297,0,46,16,17
662,customer-388027,0,60,2,15
663,customer-76773,0,34,2,21
664,customer-468036,0,66,9,17
665,customer-202653,0,66,8,11
666,customer-158191,0,53,8,17
667,customer-273091,0,54,5,3
668,customer-273090,0,54,22,6
669,customer-468290,0,64,85,8
670,customer-317802,0,26,98,9
671,customer-202672,0,66,93,14
672,customer-127161,0,55,21,12
673,customer-317803,0,26,92,24
674,customer-468331,0,66,16,3
675,customer-468332,0,66,10,3
676,customer-468333,0,66,97,2
677,customer-273070,0,68,0,24
678,customer-158229,0,54,5,14
679,customer-468351,0,67,3,20
680,customer-468352,0,67,88,11
681,customer-468353,0,67,69,9
682,customer-158230,0,54,5,18
683,customer-273065,0,68,0,0
684,customer-127141,0,59,10,18
685,customer-273064,0,68,68,2
686,customer-184071,0,58,21,9
687,customer-317801,0,26,35,12
688,customer-317800,0,26,39,27
689,customer-468128,0,62,49,38
690,customer-468127,0,62,51,33
691,customer-273263,0,48,88,26
692,customer-273262,0,47,89,26
693,customer-158174,0,55,94,11
694,customer-127227,0,50,25,3
695,customer-127226,0,50,16,5
696,customer-202654,0,66,2,9
697,customer-468074,0,50,18,15
698,customer-273258,0,47,3,6
699,customer-18332,0,43,98,45
700,customer-18331,0,43,98,33
701,customer-202652,0,67,13,12
702,customer-18330,0,43,0,12
703,customer-387974,0,34,2,12
704,customer-387973,0,34,6,11
705,customer-387972,0,34,12,12
706,customer-184072,0,58,22,8
707,customer-468113,0,59,54,27
708,customer-468114,0,60,55,27
709,customer-127207,0,51,34,6
710,customer-158175,0,55,92,15
711,customer-317799,0,26,41,38
712,customer-273120,0,62,99,17
713,customer-184073,0,58,25,8
714,customer-467494,0,61,26,74
715,customer-467493,0,69,30,68
716,customer-51541,0,45,7,14
717,customer-388134,0,63,89,6
718,customer-273604,0,54,14,8
719,customer-127586,0,50,29,6
720,customer-273603,0,54,21,15
721,customer-202480,0,68,8,12
722,customer-273585,0,68,94,27
723,customer-466724,0,66,92,14
724,customer-273584,0,68,100,24
725,customer-127567,0,51,99,9
726,customer-127566,0,52,21,14
727,customer-202481,0,68,8,14
728,customer-18475,0,54,8,11
729,customer-18474,0,55,16,15
730,customer-42532,0,55,14,29
731,customer-51495,0,51,10,24
732,customer-51496,0,50,8,23
733,customer-42531,0,56,14,35
734,customer-158043,0,58,95,8
735,customer-466765,0,50,12,11
736,customer-273578,0,68,98,6
737,customer-273577,0,68,91,8
738,customer-202479,0,68,9,11
739,customer-388135,0,63,81,14
740,customer-317596,0,51,96,5
741,customer-317595,0,51,24,9
742,customer-127636,0,46,7,12
743,customer-68212,0,48,21,5
744,customer-466438,0,50,15,15
745,customer-317536,0,63,14,21
746,customer-317537,0,63,14,18
747,customer-466481,0,60,72,30
748,customer-466482,0,60,70,29
749,customer-317538,0,63,9,11
750,customer-158036,0,58,12,8
751,customer-18512,0,49,88,20
752,customer-466809,0,60,67,27
753,customer-18511,0,49,95,8
754,customer-127617,0,47,15,20
755,customer-202468,0,68,81,11
756,customer-466507,0,62,57,12
757,customer-466508,0,62,68,18
758,customer-184143,0,54,23,8
759,customer-184142,0,54,24,11
760,customer-466662,0,63,91,15
761,customer-273634,0,62,93,12
762,customer-51478,0,52,32,11
763,customer-51479,0,52,32,6
764,customer-127618,0,46,4,12
765,customer-466810,0,60,64,29
766,customer-273576,0,67,88,8
767,customer-42530,0,56,16,36
768,customer-127462,0,50,17,11
769,customer-467165,0,61,29,86
770,customer-467166,0,61,69,17
771,customer-127461,0,51,22,15
772,customer-317640,0,46,14,6
773,customer-317641,0,46,1,8
774,customer-467325,0,64,88,11
775,customer-127439,0,51,88,5
776,customer-76776,0,33,2,23
777,customer-467389,0,66,96,12
778,customer-51520,0,46,1,9
779,customer-467390,0,66,91,8
780,customer-273498,0,16,93,23
781,customer-388056,0,44,96,8
782,customer-388055,0,44,34,12
783,customer-388054,0,44,36,30
784,customer-467473,0,60,58,27
785,customer-467474,0,60,56,29
786,customer-467475,0,60,56,32
787,customer-202554,0,55,24,9
788,customer-76774,0,34,0,23
789,customer-51540,0,45,18,9
790,customer-76775,0,34,2,21
791,customer-317829,0,25,8,17
792,customer-31891,0,38,99,26
793,customer-467144,0,60,60,29
794,customer-273557,0,71,11,5
795,customer-273556,0,71,3,2
796,customer-466834,0,62,61,15
797,customer-466835,0,62,67,12
798,customer-273555,0,71,25,2
799,customer-127522,0,55,96,8
800,customer-127521,0,55,18,6
801,customer-388114,0,60,61,6
802,customer-466993,0,64,89,12
803,customer-273553,0,71,27,3
804,customer-202517,0,61,18,24
805,customer-273552,0,71,24,5
806,customer-467055,0,66,94,15
807,customer-467056,0,66,91,14
808,customer-184094,0,57,97,8
809,customer-127502,0,59,4,17
810,customer-202515,0,62,24,21
811,customer-202516,0,62,20,21
812,customer-467100,0,50,1,6
813,customer-127501,0,59,15,23
814,customer-31890,0,38,7,15
815,customer-467143,0,60,62,27
816,customer-388113,0,60,58,3
817,customer-203283,0,68,8,20
818,customer-271472,0,70,33,6
819,customer-271471,0,70,33,8
820,customer-17181,0,48,30,8
821,customer-17180,0,48,22,6
822,customer-17179,0,48,26,12
823,customer-17178,0,49,28,18
824,customer-159620,0,57,99,9
825,customer-17174,0,49,5,15
826,customer-17173,0,49,5,15
827,customer-17172,0,49,7,14
828,customer-17171,0,49,16,8
829,customer-17170,0,50,27,8
830,customer-203981,0,69,25,9
831,customer-269389,0,63,8,35
832,customer-269388,0,63,12,42
833,customer-476207,0,66,85,6
834,customer-159621,0,57,96,12
835,customer-203982,0,68,26,8
836,customer-203983,0,68,28,8
837,customer-203984,0,68,29,6
838,customer-476243,0,69,42,3
839,customer-203985,0,68,28,6
840,customer-203986,0,68,26,6
841,customer-17182,0,48,50,2
842,customer-17183,0,48,84,6
843,customer-17184,0,48,8,11
844,customer-17185,0,48,6,12
845,customer-476177,0,66,44,20
846,customer-385557,0,57,80,11
847,customer-203975,0,69,9,5
848,customer-203976,0,69,11,5
849,customer-203977,0,69,18,5
850,customer-385556,0,56,86,20
851,customer-269425,0,54,23,12
852,customer-125331,0,55,17,8
853,customer-125330,0,55,32,14
854,customer-269424,0,54,22,9
855,customer-125266,0,50,25,20
856,customer-269423,0,54,22,8
857,customer-125311,0,57,6,9
858,customer-269421,0,54,26,11
859,customer-385555,0,56,91,23
860,customer-72276,0,56,19,8
861,customer-159593,0,60,91,11
862,customer-125310,0,57,24,15
863,customer-385520,0,43,1,9
864,customer-385519,0,44,21,26
865,customer-17187,0,48,97,18
866,customer-17186,0,48,96,14
867,customer-269422,0,54,25,6
868,customer-476176,0,66,42,21
869,customer-476255,0,65,2,11
870,customer-269374,0,66,19,14
