ID,Label,Slope,Aspect,Elevation,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm
116,product-66566,0,38,35,2,23,5,86,94,61
117,product-236436,0,38,40,0,22,26,86,94,61
118,product-312931,0,38,67,0,22,61,86,94,61
119,product-88649,0,38,46,16,24,31,86,94,61
120,product-56993,0,38,53,11,22,57,86,94,61
121,product-65575,0,38,50,44,36,36,86,94,61
122,product-42116,0,38,51,22,25,41,86,94,61
123,product-206748,0,38,59,24,22,46,86,94,61
124,product-206164,0,38,22,0,22,14,86,94,61
125,product-122799,0,38,64,3,22,58,86,94,61
126,product-300418,0,38,58,2,22,43,86,94,61
127,product-122778,0,38,67,29,25,67,86,94,61
128,product-102172,0,38,53,14,33,40,86,94,61
129,product-117981,0,38,56,13,25,28,86,94,61
130,product-147277,0,38,72,14,28,87,86,94,61
131,product-42456,0,38,54,14,25,57,86,94,61
132,product-54495,0,38,52,34,25,52,86,94,61
133,product-39804,0,38,53,24,30,47,86,94,61
134,product-353617,0,38,67,17,27,16,86,94,61
135,product-17546,0,38,47,22,25,43,86,94,61
136,product-376805,0,38,66,9,23,62,86,94,61
137,product-357026,0,38,64,14,23,4,86,94,61
138,product-287956,0,38,72,0,22,20,86,94,61
139,product-83429,0,38,45,6,24,23,86,94,61
140,product-211858,0,38,51,29,31,16,86,94,61
141,product-214223,0,38,56,39,18,25,86,94,61
142,product-241620,0,38,50,37,33,28,86,94,61
143,product-186712,0,38,54,8,24,16,86,94,61
144,product-106020,0,38,55,2,22,74,86,94,61
145,product-296041,0,38,59,38,35,38,86,94,61
146,product-63474,0,38,53,11,22,62,86,94,61
147,product-177077,0,38,69,12,25,59,86,94,61
148,product-133694,0,38,68,29,23,82,86,94,61
149,product-142214,0,38,71,35,26,85,86,94,61
150,product-236700,0,38,62,8,24,19,86,94,61
151,product-129479,0,38,62,2,22,60,86,94,61
152,product-120629,0,38,59,17,22,36,86,94,61
153,product-15095,0,38,51,2,22,73,86,94,61
154,product-100386,0,38,58,0,22,59,86,94,61
155,product-144665,0,38,68,0,22,75,86,94,61
156,product-122348,0,38,64,4,22,57,86,94,61
157,product-397356,0,38,39,28,50,29,86,94,61
158,product-43155,0,38,55,24,25,57,86,94,61
159,product-100623,0,38,58,0,22,60,86,94,61
160,product-264963,0,38,66,4,22,30,86,94,61
161,product-44540,0,38,56,33,29,60,86,94,61
162,product-202486,0,38,55,12,23,18,86,94,61
163,product-51721,0,38,46,8,22,38,86,94,61
164,product-51218,0,38,54,2,22,64,86,94,61
165,product-121755,0,38,59,5,22,40,86,94,61
166,product-145351,0,38,68,0,22,82,86,94,61
167,product-139409,0,50,71,21,27,69,86,94,62
168,product-189164,0,50,69,6,22,48,86,94,62
169,product-390175,0,50,36,2,22,11,86,94,62
170,product-220198,0,50,58,28,27,26,86,94,62
171,product-104774,0,50,53,24,32,45,86,94,62
172,product-206224,0,50,31,35,39,12,86,94,62
173,product-258024,0,50,75,0,22,39,86,94,62
174,product-203412,0,50,55,12,22,18,86,94,62
175,product-122777,0,50,67,27,25,67,86,94,62
176,product-42649,0,50,54,21,24,56,86,94,62
177,product-36817,0,50,54,0,22,68,86,94,62
178,product-54105,0,50,43,8,23,27,86,94,62
179,product-202799,0,50,55,11,23,17,86,94,62
180,product-232869,0,50,63,38,29,28,86,94,62
181,product-1219,0,50,76,13,27,38,86,94,62
182,product-92794,0,50,55,20,29,46,86,94,62
183,product-103327,0,50,47,13,24,31,86,94,62
184,product-135807,0,50,68,0,22,83,86,94,62
185,product-257529,0,50,75,0,22,39,86,94,62
186,product-122552,0,50,67,28,25,67,86,94,62
187,product-148441,0,50,70,17,26,62,86,94,62
188,product-57303,0,50,53,20,30,56,86,94,62
189,product-134021,0,50,68,25,23,83,86,94,62
190,product-62825,0,50,46,0,22,50,86,94,62
191,product-111483,0,50,51,0,22,27,86,94,62
192,product-141495,0,50,67,2,22,78,86,94,62
193,product-84271,0,50,42,0,22,13,86,94,62
194,product-133858,0,50,68,27,23,82,86,94,62
195,product-86645,0,50,42,13,23,12,86,94,62
196,product-38808,0,50,54,14,26,50,86,94,62
197,product-282344,0,50,47,0,22,27,86,94,62
198,product-127680,0,50,69,38,30,64,86,94,62
199,product-187101,0,50,54,19,24,16,86,94,62
200,product-88080,0,50,54,34,29,46,86,94,62
201,product-88403,0,50,47,19,28,31,86,94,62
202,product-176863,0,50,57,28,26,19,86,94,62
203,product-81978,0,50,36,13,22,4,86,94,62
204,product-133693,0,50,68,29,26,83,86,94,62
205,product-160032,0,50,56,23,30,24,86,94,62
206,product-138004,0,50,71,33,28,71,86,94,62
207,product-138232,0,50,71,33,28,71,86,94,62
208,product-34963,0,50,48,9,24,39,86,94,62
209,product-73991,0,50,46,6,24,25,86,94,62
210,product-129908,0,50,68,31,26,83,86,94,62
211,product-130697,0,50,51,0,22,9,86,94,62
212,product-10803,0,50,32,0,22,12,86,94,62
213,product-44971,0,50,55,31,28,55,86,94,62
214,product-198821,0,50,54,4,22,21,86,94,62
215,product-398967,0,50,29,24,34,14,86,94,62
216,product-232501,0,50,63,29,27,24,86,94,62
217,product-101651,0,50,53,2,23,49,86,94,62
218,product-144195,0,50,70,30,36,65,86,94,62
219,product-314246,0,62,55,0,22,2,86,94,62
220,product-11235,0,62,38,2,22,9,86,94,62
221,product-55786,0,62,45,3,22,41,86,94,62
222,product-37540,0,62,56,37,26,60,86,94,62
223,product-114058,0,62,56,14,23,34,86,94,62
224,product-127798,0,62,61,32,25,46,86,94,62
225,product-359787,0,62,69,0,22,17,86,94,62
226,product-123761,0,62,63,3,22,77,86,94,62
227,product-142828,0,62,71,38,45,61,86,94,62
228,product-104923,0,62,59,44,33,64,86,94,62
229,product-56762,0,62,53,10,22,58,86,94,62
230,product-277232,0,62,75,23,26,13,86,94,62
231,product-122766,0,62,66,6,22,72,86,94,62
232,product-202873,0,62,58,35,33,39,86,94,62
233,product-67649,0,62,48,24,27,33,86,94,62
234,product-10072,0,62,37,17,32,9,86,94,62
235,product-50518,0,62,52,9,24,53,86,94,62
236,product-122987,0,62,66,10,22,71,86,94,62
237,product-32611,0,62,43,9,23,28,86,94,62
238,product-109361,0,62,56,5,22,75,86,94,62
239,product-182710,0,62,46,14,30,33,86,94,62
240,product-82842,0,62,46,24,28,24,86,94,62
241,product-318656,0,62,49,4,24,9,86,94,62
242,product-83970,0,62,45,10,26,25,86,94,62
243,product-109788,0,62,63,29,25,74,86,94,62
244,product-126540,0,62,66,4,22,71,86,94,62
245,product-47430,0,62,53,27,20,59,86,94,62
246,product-127459,0,62,69,35,30,64,86,94,62
247,product-106683,0,62,64,13,27,76,86,94,62
248,product-108334,0,62,51,18,29,33,86,94,62
249,product-142036,0,62,71,37,26,85,86,94,62
250,product-294535,0,62,44,30,25,15,86,94,62
251,product-44757,0,62,55,28,28,54,86,94,62
252,product-122323,0,62,67,29,25,67,86,94,62
253,product-137767,0,62,71,34,28,71,86,94,62
254,product-227443,0,62,48,13,25,15,86,94,62
255,product-137926,0,62,62,11,26,28,86,94,62
256,product-201884,0,62,54,2,22,28,86,94,62
257,product-201238,0,62,55,8,23,29,86,94,62
258,product-194079,0,62,30,14,28,12,86,94,62
259,product-226456,0,62,65,6,22,24,86,94,62
260,product-272290,0,62,74,39,28,13,86,94,62
261,product-163626,0,62,55,18,24,26,86,94,62
262,product-98915,0,62,56,8,21,61,86,94,62
263,product-72502,0,75,43,34,30,15,85,94,62
264,product-254945,0,75,69,25,22,2,85,94,62
265,product-169945,0,75,51,20,28,18,85,94,62
266,product-31090,0,75,44,14,25,32,85,94,62
267,product-361576,0,75,76,63,48,17,85,94,62
268,product-105690,0,75,61,15,27,69,85,94,62
269,product-360198,0,75,64,17,22,8,85,94,62
270,product-23569,0,75,66,12,23,65,85,94,62
271,product-276625,0,75,61,7,23,26,85,94,62
272,product-54700,0,75,52,24,22,57,85,94,62
273,product-213631,0,75,52,26,36,15,85,94,62
274,product-84986,0,75,52,29,28,38,85,94,62
275,product-244591,0,75,63,4,23,33,85,94,62
276,product-244589,0,75,63,6,23,34,85,94,62
277,product-47573,0,75,48,15,24,33,85,94,62
278,product-355026,0,75,74,57,37,12,85,94,62
279,product-180368,0,75,24,24,37,11,85,94,62
280,product-245284,0,75,67,41,33,17,85,94,62
281,product-59467,0,75,39,17,32,16,85,94,62
282,product-106333,0,75,57,22,29,59,85,94,62
283,product-127431,0,75,55,3,22,17,85,94,62
284,product-376232,0,75,71,4,23,21,85,94,62
285,product-218320,0,75,60,40,31,38,85,94,62
286,product-93870,0,75,39,4,23,19,85,94,62
287,product-340005,0,75,68,24,28,12,85,94,62
288,product-121420,0,75,55,11,27,21,85,94,62
289,product-302393,0,75,56,32,31,26,85,94,62
290,product-78424,0,88,40,45,26,8,85,93,62
291,product-37757,0,88,55,34,25,61,85,93,62
292,product-78381,0,88,45,11,25,19,85,93,62
293,product-104301,0,88,60,32,26,64,85,93,62
294,product-221311,0,88,25,0,22,8,85,93,62
295,product-205270,0,88,32,9,25,8,85,93,62
296,product-139439,0,88,68,26,24,86,85,93,62
297,product-296880,0,88,80,46,33,36,85,93,62
298,product-122801,0,88,64,0,22,57,85,93,62
299,product-129053,0,88,57,0,22,40,85,93,62
300,product-300419,0,88,58,3,22,43,85,93,62
301,product-300738,0,88,60,50,26,31,85,93,62
302,product-146425,0,88,68,14,21,65,85,93,62
303,product-257756,0,88,36,24,25,20,85,93,62
304,product-256791,0,88,35,28,24,17,85,93,62
305,product-204296,0,88,55,6,22,18,85,93,62
306,product-123023,0,88,64,19,22,53,85,93,62
307,product-67681,0,88,43,6,24,18,85,93,62
308,product-276397,0,88,71,70,44,26,85,93,62
309,product-141637,0,88,67,11,24,75,85,93,62
310,product-133927,0,88,58,5,22,48,85,93,62
311,product-376806,0,88,66,8,23,62,85,93,62
312,product-111511,0,88,58,4,22,72,85,93,62
313,product-85067,0,88,41,0,22,9,85,93,62
314,product-15553,0,88,42,17,25,24,85,93,62
315,product-11989,0,88,38,2,22,13,85,93,62
316,product-40176,0,88,50,15,25,40,85,93,62
317,product-181381,0,88,23,26,46,15,85,93,62
318,product-214228,0,88,56,24,26,28,85,93,62
319,product-27443,0,88,43,13,23,29,85,93,62
320,product-87389,0,88,44,0,22,23,85,93,62
321,product-107586,0,88,56,2,22,77,85,93,62
322,product-87974,0,88,52,0,22,69,85,93,62
323,product-127239,0,88,69,32,30,64,85,93,62
324,product-138001,0,88,71,27,27,70,85,93,62
325,product-138229,0,88,71,27,27,70,85,93,62
326,product-201781,0,88,76,8,23,61,85,93,62
327,product-35723,0,88,42,23,27,16,85,93,62
328,product-163336,0,88,55,16,25,28,85,93,62
329,product-306265,0,88,63,46,33,26,85,93,62
330,product-99905,0,88,58,2,22,59,85,93,62
331,product-305785,0,88,62,0,22,9,85,93,62
332,product-101316,0,88,62,6,22,76,85,93,62
333,product-70309,0,88,40,14,23,7,85,93,62
334,product-122356,0,88,64,20,22,53,85,93,62
335,product-98792,0,88,44,2,22,26,85,93,62
336,product-335750,0,88,66,15,22,18,85,93,62
337,product-94506,0,88,52,5,22,46,85,93,62
338,product-192619,0,88,56,2,22,20,85,93,62
339,product-266839,0,88,68,42,32,8,85,93,62
340,product-100146,0,88,58,2,22,59,85,93,62
341,product-71290,2,3,40,16,23,9,85,93,61
342,product-64330,2,3,38,21,26,6,85,93,61
343,product-124469,2,3,59,6,22,44,85,93,61
344,product-218699,2,3,61,30,26,41,85,93,61
345,product-126008,2,3,60,14,24,46,85,93,61
346,product-217466,2,3,57,16,24,29,85,93,61
347,product-69498,2,3,39,7,22,7,85,93,61
348,product-123021,2,3,64,15,22,54,85,93,61
349,product-312919,2,3,71,0,22,62,85,93,61
350,product-122803,2,3,64,4,22,56,85,93,61
351,product-123870,2,3,59,6,22,42,85,93,61
352,product-124274,2,3,59,10,22,43,85,93,61
353,product-309702,2,3,62,2,22,13,85,93,61
354,product-123426,2,3,64,11,23,55,85,93,61
355,product-4442,2,3,40,34,35,10,85,93,61
356,product-129054,2,3,57,2,22,40,85,93,61
357,product-201293,2,3,58,37,37,36,85,93,61
358,product-53178,2,3,52,17,24,53,85,93,61
359,product-127098,2,3,66,2,22,73,85,93,61
360,product-326225,2,3,62,30,24,17,85,93,61
361,product-323722,2,3,61,20,28,18,85,93,61
362,product-213087,2,3,56,30,29,27,85,93,61
363,product-21162,2,3,44,14,26,33,85,93,61
364,product-327107,2,3,62,26,24,18,85,93,61
365,product-279234,2,3,75,43,35,16,85,93,61
366,product-88596,2,3,54,30,28,46,85,93,61
367,product-108372,2,3,55,6,21,74,85,93,61
368,product-247133,2,3,41,4,23,27,85,93,61
369,product-85328,2,3,42,2,22,12,85,93,61
370,product-86370,2,3,44,8,23,19,85,93,61
371,product-100214,2,3,48,0,22,38,85,93,61
372,product-96455,2,3,51,22,30,35,85,93,61
373,product-98533,2,3,46,2,22,31,85,93,61
374,product-101354,2,3,58,9,23,62,85,93,61
375,product-28852,2,3,43,11,24,33,85,93,61
376,product-116253,2,3,62,19,26,65,85,93,61
377,product-298243,2,3,57,0,22,40,85,93,61
378,product-120251,2,3,59,20,22,36,85,93,61
379,product-10540,2,3,32,4,23,9,85,93,61
380,product-302999,2,3,59,4,23,47,85,93,61
381,product-303046,2,3,74,15,27,18,85,93,61
382,product-119385,2,3,70,38,32,79,85,93,61
383,product-304458,2,3,63,2,22,8,85,93,61
384,product-231916,2,3,67,3,22,58,85,93,61
385,product-110685,2,3,57,5,23,74,85,93,61
386,product-27728,2,3,43,10,23,28,85,93,61
387,product-237849,2,3,63,15,27,17,85,93,61
388,product-111696,2,3,57,2,22,76,85,93,61
389,product-139950,2,3,68,19,24,86,85,93,61
390,product-186708,2,3,54,32,24,15,85,93,61
391,product-390430,2,3,41,12,22,21,85,93,61
392,product-45732,2,3,48,2,22,32,85,93,61
393,product-169515,2,3,59,24,30,12,85,93,61
394,product-376662,2,3,66,6,23,62,85,93,61
395,product-142391,2,3,71,35,28,83,85,93,61
396,product-136082,2,3,64,14,22,39,85,93,61
397,product-142350,2,3,59,6,22,18,85,93,61
398,product-143028,2,3,64,9,23,30,85,93,61
399,product-142678,2,3,68,8,23,45,85,93,61
400,product-135101,2,3,68,12,22,80,85,93,61
401,product-383155,2,3,42,2,22,54,85,93,61
402,product-396855,2,3,37,20,30,36,85,93,61
403,product-51742,2,3,45,14,24,30,85,93,61
404,product-52099,2,3,51,13,24,48,85,93,61
405,product-42648,2,3,54,20,24,56,85,93,61
406,product-149909,2,3,64,0,22,30,85,93,61
407,product-146461,2,3,73,32,34,46,85,93,61
408,product-39487,2,3,36,2,22,11,85,93,61
409,product-191349,2,3,70,2,22,50,85,93,61
410,product-43159,2,3,55,29,27,55,85,93,61
411,product-132219,2,3,67,43,24,74,85,93,61
412,product-149553,2,3,68,2,22,44,85,93,61
413,product-192922,2,3,71,0,22,54,85,93,61
414,product-316146,2,5,48,4,23,12,86,93,61
415,product-309378,2,5,48,4,23,17,86,93,61
416,product-318372,2,5,68,20,28,35,86,93,61
417,product-221993,2,5,60,2,22,40,86,93,61
418,product-124076,2,5,59,9,22,42,86,93,61
419,product-309921,2,5,65,3,22,60,86,93,61
420,product-123661,2,5,59,2,22,43,86,93,61
421,product-220553,2,5,83,23,36,41,86,93,61
422,product-55119,2,5,53,14,23,59,86,93,61
423,product-334106,2,5,67,6,23,14,86,93,61
424,product-129675,2,5,68,27,26,82,86,93,61
425,product-53588,2,5,53,2,22,62,86,93,61
426,product-211539,2,5,51,29,30,16,86,93,61
427,product-325395,2,5,48,0,22,7,86,93,61
428,product-214604,2,5,56,35,22,26,86,93,61
429,product-208191,2,5,55,5,24,24,86,93,61
430,product-328394,2,5,61,41,27,9,86,93,61
431,product-57521,2,5,58,11,28,71,86,93,61
432,product-280593,2,5,66,17,25,21,86,93,61
433,product-105805,2,5,44,36,30,19,86,93,61
434,product-255235,2,5,35,23,25,17,86,93,61
435,product-285094,2,5,76,34,27,19,86,93,61
436,product-284543,2,5,66,37,25,25,86,93,61
437,product-281521,2,5,60,40,30,41,86,93,61
438,product-107083,2,5,61,15,23,71,86,93,61
439,product-107775,2,5,56,2,22,77,86,93,61
440,product-283047,2,5,66,28,26,23,86,93,61
441,product-269870,2,5,68,32,29,10,86,93,61
442,product-92755,2,5,57,22,28,57,86,93,61
443,product-276009,2,5,36,0,22,23,86,93,61
444,product-277054,2,5,61,4,23,18,86,93,61
445,product-274590,2,5,75,30,29,12,86,93,61
446,product-7296,2,5,33,11,25,10,86,93,61
447,product-300199,2,5,58,2,22,43,86,93,61
448,product-300448,2,5,71,3,22,16,86,93,61
449,product-119935,2,5,59,24,22,37,86,93,61
450,product-73131,2,5,44,3,22,19,86,93,61
451,product-119925,2,5,60,11,23,41,86,93,61
452,product-84547,2,5,42,2,23,10,86,93,61
453,product-109417,2,5,62,12,24,78,86,93,61
454,product-84206,2,5,51,32,29,37,86,93,61
455,product-112026,2,5,58,0,22,71,86,93,61
456,product-242627,2,5,63,2,23,33,86,93,61
457,product-81886,2,5,50,21,28,30,86,93,61
458,product-391244,2,5,39,13,26,18,86,93,61
459,product-179132,2,5,42,2,22,29,86,93,61
460,product-44745,2,5,56,36,29,60,86,93,61
461,product-377944,2,5,73,4,21,19,86,93,61
462,product-183287,2,5,66,2,22,46,86,93,61
463,product-134092,2,5,58,6,22,48,86,93,61
464,product-135898,2,5,64,12,23,38,86,93,61
465,product-136282,2,5,64,12,22,39,86,93,61
466,product-364700,2,5,67,44,38,5,86,93,61
467,product-148738,2,5,47,2,22,21,86,93,61
468,product-142799,2,5,66,0,22,75,86,93,61
469,product-344363,2,5,67,14,23,2,86,93,61
470,product-145590,2,5,67,14,20,59,86,93,61
471,product-194678,2,5,56,4,22,19,86,93,61
472,product-371945,2,5,60,6,25,6,86,93,61
473,product-171489,2,5,23,18,37,5,86,93,61
474,product-145364,2,5,67,2,22,72,86,93,61
475,product-153951,2,5,71,2,22,56,86,93,61
476,product-368807,2,5,56,7,24,20,86,93,61
477,product-141493,2,5,67,0,22,78,86,93,61
478,product-35713,2,5,42,8,25,20,86,93,61
479,product-228190,2,8,63,49,30,31,86,93,61
480,product-312853,2,8,71,20,32,41,86,93,61
481,product-223077,2,8,52,18,30,12,86,93,61
482,product-123868,2,8,59,3,22,44,86,93,61
483,product-336484,2,8,56,9,23,1,86,93,61
484,product-52731,2,8,49,11,25,45,86,93,61
485,product-20265,2,8,46,21,24,38,86,93,61
486,product-212383,2,8,54,3,22,34,86,93,61
487,product-56641,2,8,45,14,24,41,86,93,61
488,product-205731,2,8,59,32,23,47,86,93,61
489,product-56180,2,8,51,26,31,49,86,93,61
490,product-12433,2,8,40,7,25,21,86,93,61
491,product-207855,2,8,59,19,22,47,86,93,61
492,product-90701,2,8,43,32,35,16,86,93,61
493,product-278145,2,8,65,9,24,20,86,93,61
494,product-104504,2,8,60,42,26,63,86,93,61
495,product-250462,2,8,59,17,32,12,86,93,61
496,product-273251,2,8,60,5,22,21,86,93,61
497,product-102331,2,8,58,2,22,63,86,93,61
498,product-101355,2,8,58,7,23,62,86,93,61
499,product-101870,2,8,58,5,22,62,86,93,61
500,product-118457,2,8,49,0,22,19,86,93,61
501,product-78427,2,8,40,41,30,7,86,93,61
502,product-236769,2,8,53,9,22,23,86,93,61
503,product-236344,2,8,61,6,23,19,86,93,61
504,product-29105,2,8,46,15,26,44,86,93,61
505,product-120628,2,8,59,16,22,37,86,93,61
506,product-302606,2,8,56,35,31,26,86,93,61
507,product-303157,2,8,65,30,39,30,86,93,61
508,product-5165,2,8,68,40,32,9,86,93,61
509,product-288306,2,8,43,2,22,21,86,93,61
510,product-295320,2,8,59,33,34,39,86,93,61
511,product-293283,2,8,57,62,51,15,86,93,61
512,product-162529,2,8,51,5,21,15,86,93,61
513,product-41173,2,8,49,24,30,36,86,93,61
514,product-160568,2,8,66,2,23,25,86,93,61
515,product-143591,2,8,72,32,27,83,86,93,61
516,product-39013,2,8,54,16,27,50,86,93,61
517,product-45212,2,8,54,28,26,52,86,93,61
518,product-134270,2,8,58,2,22,48,86,93,61
519,product-18098,2,8,37,15,26,20,86,93,61
520,product-345346,2,8,69,26,27,9,86,93,61
521,product-42303,2,8,51,24,25,41,86,93,61
522,product-35016,2,8,67,32,25,58,86,93,61
523,product-42115,2,8,51,20,25,42,86,93,61
524,product-32764,2,8,59,56,42,80,86,93,61
525,product-39367,2,8,57,26,25,75,86,93,61
526,product-217910,2,9,61,26,26,42,86,93,61
527,product-218152,2,9,61,0,22,54,86,93,61
528,product-124471,2,9,59,12,22,43,86,93,61
529,product-126007,2,9,60,12,23,46,86,93,61
530,product-29246,2,9,57,46,33,81,86,93,61
531,product-228646,2,9,63,35,30,32,86,93,61
532,product-71552,2,9,55,29,28,73,86,93,61
533,product-63319,2,9,42,43,20,14,86,93,61
534,product-217738,2,9,33,17,24,11,86,93,61
535,product-67496,2,9,42,6,24,19,86,93,61
536,product-124272,2,9,59,5,22,44,86,93,61
537,product-123631,2,9,64,11,23,55,86,93,61
538,product-202803,2,9,55,17,22,19,86,93,61
539,product-331812,2,9,53,13,25,5,86,93,61
540,product-204493,2,9,58,0,22,34,86,93,61
541,product-197998,2,9,30,32,46,12,86,93,61
542,product-53605,2,9,51,24,23,52,86,93,61
543,product-53181,2,9,51,19,23,52,86,93,61
544,product-59010,2,9,38,28,30,12,86,93,61
545,product-126904,2,9,66,0,22,73,86,93,61
546,product-323720,2,9,61,24,29,17,86,93,61
547,product-126723,2,9,66,0,22,72,86,93,61
548,product-213367,2,9,60,0,22,47,86,93,61
549,product-209192,2,9,59,0,22,41,86,93,61
550,product-57546,2,9,52,28,30,54,86,93,61
551,product-88660,2,9,45,2,23,25,86,93,61
