ID,Label,Horizontal_Distance_To_Hydrology,Elevation,Aspect,Slope,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm
65,customer-270162,0,22,97,11,22,2,81,90,63
66,customer-277804,0,22,76,17,22,18,75,96,76
67,customer-268707,0,23,95,29,22,18,70,81,65
68,customer-268706,0,23,4,41,22,18,73,68,44
69,customer-269245,0,23,3,30,22,17,77,77,53
70,customer-270700,0,23,95,20,22,2,76,87,65
71,customer-271230,0,23,99,17,22,1,80,87,61
72,customer-270161,0,23,31,6,22,1,89,93,56
73,customer-277603,0,23,22,18,22,4,93,86,44
74,customer-269766,0,24,6,30,22,17,80,76,46
75,customer-268735,0,24,94,14,22,20,79,89,65
76,customer-269274,0,24,98,14,22,19,80,88,62
77,customer-270289,0,24,91,33,22,16,64,82,72
78,customer-270288,0,24,7,32,22,16,80,75,45
79,customer-270317,0,24,92,12,22,18,80,91,66
80,customer-278685,0,24,12,12,22,3,88,88,53
81,customer-278684,0,24,26,17,22,2,94,88,45
82,customer-272425,0,25,25,6,22,16,89,92,56
83,customer-271897,0,25,12,18,22,17,87,84,49
84,customer-271871,0,25,98,18,22,15,79,86,62
85,customer-273965,0,25,17,8,22,15,88,90,56
86,customer-317129,0,25,99,17,22,6,80,86,61
87,customer-317102,0,25,12,5,22,8,87,92,59
88,customer-317829,0,25,8,17,22,6,85,85,53
89,customer-270855,0,25,12,11,22,18,87,89,54
90,customer-270854,0,25,23,17,22,17,93,87,45
91,customer-270826,0,25,91,32,22,16,65,83,72
92,customer-270825,0,25,7,27,22,16,82,78,48
93,customer-271343,0,25,6,18,22,16,83,84,54
94,customer-278693,0,25,96,18,22,5,77,87,65
95,customer-315720,0,25,84,17,22,8,75,93,72
96,customer-277611,0,25,94,23,22,5,74,85,66
97,customer-278149,0,25,92,21,22,5,74,87,68
98,customer-278148,0,25,96,18,22,5,77,87,65
99,customer-272398,0,26,93,26,22,15,70,85,69
100,customer-272397,0,26,14,17,22,15,88,85,49
101,customer-272944,0,26,29,20,22,15,95,87,43
102,customer-272919,0,26,96,18,22,14,78,87,64
103,customer-273939,0,26,91,24,22,14,70,87,71
104,customer-273938,0,26,12,17,22,13,88,85,49
105,customer-317103,0,26,94,18,22,8,76,88,66
106,customer-317104,0,26,93,29,22,8,69,83,69
107,customer-273427,0,26,90,30,22,14,65,84,73
108,customer-273426,0,26,99,14,22,14,81,88,61
109,customer-317802,0,26,98,9,22,8,83,91,62
110,customer-317803,0,26,92,24,22,8,72,86,69
111,customer-317801,0,26,35,12,22,8,92,93,52
112,customer-317800,0,26,39,27,22,8,96,92,44
113,customer-317799,0,26,41,38,22,7,96,91,40
114,customer-319214,0,26,38,6,22,8,89,94,57
115,customer-269776,0,26,4,17,22,16,83,85,57
116,customer-319242,0,26,96,20,22,7,77,86,64
117,customer-319243,0,26,84,21,22,6,71,92,76
118,customer-268715,0,26,7,26,22,17,83,80,49
119,customer-269254,0,26,6,20,22,17,83,83,53
120,customer-318534,0,26,10,21,22,6,86,81,48
121,customer-318535,0,26,89,17,22,6,76,90,70
122,customer-318502,0,26,41,29,22,8,95,92,44
123,customer-318503,0,26,41,15,22,8,92,94,54
124,customer-270299,0,26,3,14,22,16,83,87,58
125,customer-272409,0,27,15,6,22,14,87,91,56
126,customer-272929,0,27,97,6,22,14,84,92,62
127,customer-272928,0,27,25,15,22,14,93,88,47
128,customer-274453,0,27,12,14,22,13,88,87,52
129,customer-269775,0,27,14,21,22,16,89,83,46
130,customer-270836,0,27,6,12,22,16,85,88,57
131,customer-271353,0,27,10,15,22,15,86,85,52
132,customer-270298,0,27,13,21,22,16,88,82,45
133,customer-278281,0,27,5,21,22,11,82,83,54
134,customer-277714,0,27,2,11,22,10,83,89,60
135,customer-273949,0,28,3,12,22,13,83,88,59
136,customer-273948,0,28,20,17,22,13,92,87,46
137,customer-274463,0,28,9,12,22,13,86,87,55
138,customer-273437,0,28,16,12,22,13,89,88,52
139,customer-278280,0,28,13,21,22,11,88,83,46
140,customer-278253,0,28,23,3,22,10,87,93,59
141,customer-278827,0,28,2,20,22,10,81,84,57
142,customer-278825,0,28,22,15,22,10,92,88,48
143,customer-278800,0,28,80,3,22,9,85,94,63
144,customer-315084,0,31,7,9,22,5,85,89,57
145,customer-317869,0,32,18,12,22,4,90,88,51
146,customer-317167,0,32,22,5,22,4,88,92,57
147,customer-385404,0,32,21,14,22,13,91,88,50
148,customer-319281,0,32,13,15,22,3,88,85,50
149,customer-384767,0,32,49,9,22,13,88,96,61
150,customer-384768,0,32,50,8,22,13,87,96,61
151,customer-318574,0,32,15,17,22,4,89,85,48
152,customer-76776,0,33,2,23,22,8,80,83,56
153,customer-385403,0,33,22,15,22,14,92,88,48
154,customer-52551,0,33,26,5,22,5,88,92,57
155,customer-52552,0,33,20,6,22,5,88,91,57
156,customer-386041,0,33,44,6,22,14,89,94,59
157,customer-386040,0,33,39,15,22,15,93,93,52
158,customer-19794,0,33,96,21,22,13,76,86,64
159,customer-19793,0,33,9,17,22,13,86,85,52
160,customer-19797,0,33,5,20,22,13,82,84,55
161,customer-19798,0,33,8,23,22,14,83,81,50
162,customer-19799,0,33,1,23,22,14,78,82,58
163,customer-19800,0,33,94,27,22,14,70,83,67
164,customer-19801,0,33,95,29,22,15,70,82,65
165,customer-42453,0,34,6,17,22,10,84,85,55
166,customer-42452,0,34,24,12,22,10,92,89,50
167,customer-387327,0,34,28,5,22,17,88,93,57
168,customer-387328,0,34,83,3,22,17,83,94,65
169,customer-387329,0,34,81,8,22,16,81,94,68
170,customer-388618,0,34,16,14,22,17,89,87,50
171,customer-76772,0,34,5,17,22,10,83,86,56
172,customer-76773,0,34,2,21,22,10,80,83,56
173,customer-387974,0,34,2,12,22,16,83,88,59
174,customer-387973,0,34,6,11,22,17,85,89,57
175,customer-387972,0,34,12,12,22,17,87,88,54
176,customer-76774,0,34,0,23,22,9,78,83,59
177,customer-76775,0,34,2,21,22,9,80,83,57
178,customer-386687,0,34,52,12,22,15,87,97,63
179,customer-386686,0,34,56,12,22,15,85,97,65
180,customer-386683,0,34,34,12,22,16,92,92,52
181,customer-386682,0,34,47,8,22,16,88,95,60
182,customer-386681,0,34,53,9,22,16,87,96,63
183,customer-386680,0,34,57,9,22,16,85,97,65
184,customer-386033,0,34,37,14,22,16,93,93,52
185,customer-386034,0,34,36,15,22,16,93,93,50
186,customer-386035,0,34,49,12,22,16,89,96,60
187,customer-386036,0,34,57,15,22,15,84,98,67
188,customer-20029,0,34,3,21,22,13,80,83,56
189,customer-388617,0,35,16,14,22,18,89,87,51
190,customer-388616,0,35,6,9,22,18,85,89,58
191,customer-388615,0,35,8,8,22,18,86,90,57
192,customer-388614,0,35,14,6,22,19,87,91,57
193,customer-388613,0,35,21,6,22,19,89,91,56
194,customer-16874,0,36,11,14,22,5,87,87,53
195,customer-16873,0,36,11,15,22,5,87,86,52
196,customer-16872,0,36,99,9,22,5,83,90,61
197,customer-17533,0,36,6,6,22,8,85,91,59
198,customer-391262,0,36,27,14,22,24,93,90,49
199,customer-17972,0,37,2,12,22,10,83,88,59
200,customer-17971,0,37,14,14,22,10,89,87,51
201,customer-17970,0,37,16,11,22,11,89,89,53
202,customer-16871,0,37,41,14,22,8,91,94,55
203,customer-16870,0,37,32,17,22,8,94,90,47
204,customer-16869,0,37,31,14,22,9,93,91,50
205,customer-17751,0,37,98,9,22,10,82,90,63
206,customer-17750,0,37,11,8,22,10,87,90,57
207,customer-17532,0,37,13,11,22,9,88,89,54
208,customer-17531,0,37,18,9,22,9,89,90,54
209,customer-17530,0,37,32,3,22,9,88,93,59
210,customer-391261,0,37,33,18,22,25,95,90,46
211,customer-391929,0,37,47,30,22,26,91,96,54
212,customer-391928,0,37,49,30,22,27,89,97,57
213,customer-81962,0,37,6,11,22,22,85,88,57
214,customer-126976,0,38,96,8,22,17,83,91,63
215,customer-82843,0,38,10,21,22,24,86,81,48
216,customer-82844,0,38,9,23,22,24,85,81,48
217,customer-126610,0,38,6,9,22,17,85,89,58
218,customer-17969,0,38,12,8,22,11,87,90,57
219,customer-82548,0,38,24,12,22,24,91,89,50
220,customer-82549,0,38,21,8,22,23,89,91,55
221,customer-127701,0,38,53,8,22,18,87,96,63
222,customer-127700,0,38,36,6,22,18,89,93,57
223,customer-128064,0,38,2,5,22,19,85,92,61
224,customer-127339,0,38,56,5,22,18,86,95,63
225,customer-31891,0,38,99,26,22,28,75,82,61
226,customer-31890,0,38,7,15,22,28,85,86,55
227,customer-17309,0,38,41,14,22,11,91,94,55
228,customer-17308,0,38,39,6,22,11,89,94,57
229,customer-17307,0,38,27,5,22,11,89,92,57
230,customer-125142,0,38,24,12,22,15,91,89,50
231,customer-16867,0,38,16,6,22,9,88,91,56
232,customer-16866,0,38,16,11,22,10,89,89,53
233,customer-17088,0,38,22,12,22,10,91,89,50
234,customer-17087,0,38,8,8,22,10,86,91,58
235,customer-125873,0,38,22,18,22,16,93,86,45
236,customer-126242,0,38,11,12,22,16,87,87,53
237,customer-126241,0,38,19,18,22,16,91,85,45
238,customer-17742,0,38,50,5,22,13,87,95,61
239,customer-17741,0,38,39,5,22,13,88,94,59
240,customer-17740,0,38,32,6,22,13,89,93,57
241,customer-17739,0,38,30,8,22,14,90,92,55
242,customer-125507,0,38,25,15,22,15,93,88,46
243,customer-17523,0,38,36,12,22,12,92,93,53
244,customer-17522,0,38,34,5,22,12,89,93,57
245,customer-17521,0,38,57,2,22,12,86,94,62
246,customer-129138,0,39,15,3,22,19,87,92,59
247,customer-82842,0,39,11,20,22,24,87,83,49
248,customer-82835,0,39,24,12,22,27,91,89,51
249,customer-82836,0,39,11,11,22,27,87,88,54
250,customer-82837,0,39,4,15,22,26,83,86,57
251,customer-82541,0,39,39,14,22,26,93,93,52
252,customer-82542,0,39,31,12,22,26,93,91,50
253,customer-82543,0,39,27,9,22,26,90,91,54
254,customer-82544,0,39,60,3,22,25,85,95,63
255,customer-82545,0,39,40,6,22,25,89,94,58
256,customer-82546,0,39,30,15,22,25,93,90,48
257,customer-72134,0,39,10,26,22,19,85,79,45
258,customer-17292,0,39,6,12,22,17,85,88,57
259,customer-17291,0,39,6,15,22,17,84,86,56
260,customer-17290,0,39,1,17,22,18,81,86,59
261,customer-17283,0,39,92,15,22,21,78,90,67
262,customer-17282,0,39,90,8,22,21,81,93,65
263,customer-17281,0,39,35,3,22,21,88,93,59
264,customer-17297,0,39,19,9,22,15,89,90,53
265,customer-17064,0,39,1,20,22,19,80,84,58
266,customer-17063,0,39,1,15,22,20,81,87,59
267,customer-17062,0,39,99,9,22,20,83,91,62
268,customer-17061,0,39,34,3,22,21,87,93,59
269,customer-17070,0,39,2,11,22,17,83,89,60
270,customer-17075,0,39,30,8,22,15,90,92,54
271,customer-17074,0,39,35,6,22,15,89,93,57
272,customer-17072,0,39,88,5,22,16,83,93,65
273,customer-17071,0,39,93,9,22,17,81,91,65
274,customer-17738,0,39,26,9,22,14,91,91,53
275,customer-17737,0,39,24,8,22,14,90,91,54
276,customer-17736,0,39,26,12,22,15,92,90,50
277,customer-17735,0,39,29,14,22,15,93,90,49
278,customer-17514,0,39,16,15,22,15,89,86,49
279,customer-17513,0,39,12,14,22,15,88,87,52
280,customer-32264,0,39,3,20,22,29,81,84,57
281,customer-32265,0,39,97,29,22,28,71,81,63
282,customer-17497,0,39,97,18,22,22,78,87,63
283,customer-17496,0,39,8,14,22,22,85,87,55
284,customer-131294,0,39,12,11,22,20,87,88,54
285,customer-131654,0,39,14,17,22,20,89,85,49
286,customer-130931,0,39,14,12,22,20,88,88,53
287,customer-18159,0,40,94,18,22,25,76,87,66
288,customer-18158,0,40,13,11,22,26,88,89,54
289,customer-82831,0,40,41,24,22,29,94,94,48
290,customer-82832,0,40,43,15,22,28,91,95,55
291,customer-82833,0,40,40,12,22,28,91,94,55
292,customer-82834,0,40,32,15,22,27,94,91,48
293,customer-17934,0,40,3,24,22,24,80,81,55
294,customer-17933,0,40,1,14,22,25,82,88,60
295,customer-17932,0,40,29,8,22,25,90,92,55
296,customer-72133,0,40,14,23,22,19,89,81,44
297,customer-17289,0,40,4,18,22,18,82,85,56
298,customer-17288,0,40,4,18,22,19,82,84,56
299,customer-17287,0,40,3,18,22,19,81,85,57
300,customer-17286,0,40,99,17,22,19,80,86,61
301,customer-17285,0,40,99,17,22,20,79,87,61
302,customer-17284,0,40,95,17,22,20,78,88,65
303,customer-83118,0,40,39,5,22,29,89,94,59
304,customer-83119,0,40,32,5,22,29,88,93,58
305,customer-83120,0,40,19,6,22,28,88,91,56
306,customer-17712,0,40,31,12,22,24,92,91,51
307,customer-17714,0,40,98,9,22,23,82,90,62
308,customer-17713,0,40,17,8,22,24,88,91,56
309,customer-17499,0,40,92,18,22,21,75,89,68
310,customer-17498,0,40,94,20,22,21,75,87,67
311,customer-17495,0,40,16,11,22,22,89,89,52
312,customer-17494,0,40,28,8,22,23,90,92,55
313,customer-17493,0,40,41,14,22,23,91,94,55
314,customer-82824,0,41,39,14,22,31,92,94,53
315,customer-82825,0,41,44,14,22,31,91,95,56
316,customer-18607,0,41,38,6,22,27,89,94,58
317,customer-18608,0,41,0,8,22,27,83,91,61
318,customer-18609,0,41,1,18,22,26,80,85,59
319,customer-82528,0,41,43,12,22,31,91,95,57
320,customer-82527,0,41,33,14,22,32,93,92,50
321,customer-18384,0,41,1,23,22,26,78,82,58
322,customer-18383,0,41,9,20,22,26,85,83,50
323,customer-83114,0,41,40,12,22,31,91,94,55
324,customer-81935,0,41,35,9,22,32,91,93,54
325,customer-17881,0,42,98,18,22,47,78,86,62
326,customer-31857,0,42,29,9,22,34,91,92,54
327,customer-31858,0,42,10,6,22,34,86,91,58
328,customer-31859,0,42,0,8,22,34,83,91,61
329,customer-17225,0,42,86,35,22,45,60,87,81
330,customer-17224,0,42,92,11,22,45,80,91,66
331,customer-17003,0,42,88,29,22,45,65,87,76
332,customer-17660,0,42,86,24,22,46,69,90,76
333,customer-32231,0,42,13,11,22,35,88,89,54
334,customer-17439,0,42,86,29,22,46,66,88,77
335,customer-19970,0,42,88,11,22,30,80,93,68
336,customer-19969,0,42,30,12,22,30,92,91,51
337,customer-19734,0,42,86,15,22,29,75,92,72
338,customer-19733,0,42,28,3,22,29,88,93,58
339,customer-201066,0,42,19,39,22,1,93,71,22
340,customer-18108,0,43,95,38,22,47,63,76,66
341,customer-18107,0,43,4,27,22,47,79,78,51
342,customer-17882,0,43,87,42,22,46,53,81,81
343,customer-42392,0,43,58,3,22,35,85,95,63
344,customer-18555,0,43,89,17,22,48,76,90,70
345,customer-18332,0,43,98,45,22,47,61,68,57
346,customer-18331,0,43,98,33,22,47,69,77,61
347,customer-18330,0,43,0,12,22,48,82,89,61
348,customer-385520,0,43,1,9,22,33,83,90,61
349,customer-17256,0,43,0,2,22,32,85,93,61
350,customer-17254,0,43,32,8,22,33,90,93,56
351,customer-17255,0,43,66,2,22,32,85,94,63
352,customer-384888,0,43,40,9,22,33,90,94,57
353,customer-17037,0,43,11,20,22,31,87,83,48
354,customer-17036,0,43,13,15,22,31,88,86,50
355,customer-17035,0,43,15,6,22,32,87,91,57
356,customer-17661,0,43,87,39,22,46,56,83,81
357,customer-32230,0,43,29,12,22,35,92,91,50
358,customer-17470,0,43,7,12,22,33,85,88,57
359,customer-17469,0,43,12,12,22,33,88,87,53
360,customer-32232,0,43,1,14,22,35,82,88,60
361,customer-201065,0,43,18,35,22,2,92,74,29
362,customer-50585,0,43,30,12,22,25,92,91,51
363,customer-50586,0,43,2,14,22,25,83,88,59
364,customer-50587,0,43,3,24,22,24,80,81,54
365,customer-76696,0,44,62,11,22,42,83,97,68
366,customer-387421,0,44,68,17,22,34,78,98,74
367,customer-51857,0,44,50,8,22,27,87,96,61
368,customer-318366,0,44,8,14,22,9,85,87,55
369,customer-387420,0,44,44,12,22,33,90,95,57
370,customer-387419,0,44,34,27,22,33,98,88,38
371,customer-18556,0,44,90,36,22,48,61,81,74
372,customer-317659,0,44,19,9,22,8,89,90,54
373,customer-317660,0,44,11,11,22,8,87,88,54
374,customer-388056,0,44,96,8,22,33,83,91,63
375,customer-388055,0,44,34,12,22,33,93,92,51
376,customer-388054,0,44,36,30,22,33,98,88,37
377,customer-385519,0,44,21,26,22,33,94,81,37
378,customer-384889,0,44,77,17,22,33,75,95,76
379,customer-386790,0,44,65,3,22,33,85,95,64
380,customer-386789,0,44,41,18,22,33,93,94,52
381,customer-386151,0,44,100,24,22,33,77,83,59
382,customer-386150,0,44,12,21,22,33,87,82,46
383,customer-52175,0,44,86,11,22,27,79,93,69
384,customer-391368,0,44,54,6,22,32,86,96,63
385,customer-391367,0,44,34,29,22,32,98,87,36
386,customer-390698,0,44,8,5,22,32,86,91,59
387,customer-390697,0,44,36,15,22,32,93,93,51
388,customer-76971,0,44,98,9,22,42,83,91,62
389,customer-76695,0,45,31,15,22,42,94,90,47
390,customer-318364,0,45,17,12,22,9,89,88,51
391,customer-318365,0,45,12,14,22,9,88,87,52
392,customer-42376,0,45,89,6,22,42,82,93,65
393,customer-42375,0,45,32,15,22,43,93,91,49
394,customer-126569,0,45,16,20,22,21,90,84,45
395,customer-51541,0,45,7,14,22,26,85,87,56
396,customer-51540,0,45,18,9,22,26,89,90,54
397,customer-125098,0,45,6,11,22,20,85,89,57
398,customer-125097,0,45,93,17,22,20,77,89,67
399,customer-52489,0,45,15,18,22,28,89,84,46
400,customer-52490,0,45,2,14,22,27,83,88,59
401,customer-52491,0,45,89,21,22,27,72,89,72
402,customer-125079,0,45,90,17,22,26,76,90,69
403,customer-125078,0,45,5,17,22,26,83,85,56
404,customer-125832,0,45,34,18,22,21,94,91,47
405,customer-126201,0,45,21,20,22,21,93,85,43
406,customer-319072,0,45,21,8,22,10,89,91,55
407,customer-319073,0,45,11,12,22,9,87,87,54
408,customer-125464,0,45,41,6,22,20,89,94,59
409,customer-20152,0,45,1,11,22,53,83,89,60
410,customer-20153,0,45,99,24,22,52,76,82,60
411,customer-20154,0,45,95,36,22,52,64,77,67
412,customer-76973,0,45,65,8,22,41,83,96,67
413,customer-76972,0,45,75,18,22,41,74,96,76
414,customer-19915,0,45,7,11,22,52,85,89,57
415,customer-19916,0,45,94,29,22,51,69,83,67
416,customer-19917,0,45,88,41,22,51,56,81,78
417,customer-50564,0,45,3,9,22,34,84,90,59
418,customer-126894,0,46,12,15,22,35,88,86,51
419,customer-126934,0,46,19,20,22,22,91,85,44
420,customer-272754,0,46,6,8,22,33,85,90,59
421,customer-126914,0,46,21,6,22,28,89,91,56
422,customer-271710,0,46,80,18,22,33,74,94,76
423,customer-272234,0,46,86,23,22,34,70,91,75
424,customer-51837,0,46,38,5,22,35,88,94,59
425,customer-51836,0,46,91,3,22,35,85,93,63
426,customer-126549,0,46,16,5,22,27,87,92,58
427,customer-126548,0,46,29,12,22,28,92,91,50
428,customer-126528,0,46,4,8,22,35,85,90,59
429,customer-127656,0,46,12,20,22,23,87,83,47
430,customer-127278,0,46,94,6,22,28,83,92,63
431,customer-127277,0,46,23,8,22,29,89,91,55
432,customer-127296,0,46,19,18,22,22,92,85,45
433,customer-127258,0,46,15,18,22,35,89,84,47
434,customer-127297,0,46,16,17,22,22,90,85,47
435,customer-127636,0,46,7,12,22,29,85,87,56
436,customer-127618,0,46,4,12,22,35,84,88,58
437,customer-317640,0,46,14,6,22,13,87,91,57
438,customer-317641,0,46,1,8,22,13,83,90,61
439,customer-51520,0,46,1,9,22,34,83,90,61
440,customer-269609,0,46,85,9,22,32,80,93,69
441,customer-52469,0,46,30,11,22,36,92,91,52
442,customer-269080,0,46,82,2,22,32,85,94,63
443,customer-125054,0,46,91,11,22,33,80,91,66
444,customer-125813,0,46,9,15,22,27,86,86,54
445,customer-126160,0,46,5,9,22,35,85,90,59
446,customer-126161,0,46,73,9,22,34,81,96,69
447,customer-126182,0,46,8,8,22,27,86,90,58
448,customer-126181,0,46,24,11,22,27,91,90,52
449,customer-271189,0,46,79,15,22,33,75,94,74
450,customer-125446,0,46,8,17,22,26,85,85,54
451,customer-125422,0,46,4,9,22,34,84,89,59
452,customer-125790,0,46,75,6,22,34,83,95,67
453,customer-125789,0,46,14,12,22,34,89,88,52
454,customer-474839,0,46,90,20,22,8,74,89,70
455,customer-52153,0,46,14,14,22,35,89,87,50
456,customer-52154,0,46,11,8,22,35,87,90,57
457,customer-475249,0,46,89,24,22,8,70,88,73
458,customer-315564,0,46,97,8,22,11,83,91,63
459,customer-315563,0,46,12,5,22,12,87,91,58
460,customer-272757,0,47,88,26,22,34,68,87,74
461,customer-318346,0,47,4,6,22,14,85,91,60
462,customer-318347,0,47,1,9,22,14,83,90,61
463,customer-318345,0,47,16,5,22,14,87,92,58
464,customer-318344,0,47,33,6,22,15,89,93,57
465,customer-127655,0,47,11,12,22,23,87,87,54
466,customer-128018,0,47,6,9,22,23,85,89,58
467,customer-128017,0,47,6,6,22,24,85,91,59
468,customer-127998,0,47,9,11,22,30,86,89,56
469,customer-127981,0,47,7,9,22,36,85,89,57
470,customer-273262,0,47,89,26,22,34,68,87,74
471,customer-273258,0,47,3,6,22,34,85,91,60
472,customer-127617,0,47,15,20,22,36,89,83,46
473,customer-476486,0,47,12,14,22,10,87,87,52
474,customer-476068,0,47,23,17,22,9,93,87,45
475,customer-476069,0,47,90,11,22,9,79,92,67
476,customer-476070,0,47,87,24,22,9,69,89,74
477,customer-476908,0,47,1,14,22,10,82,88,60
478,customer-319055,0,47,14,5,22,15,87,91,58
479,customer-319056,0,47,2,6,22,15,84,91,61
480,customer-475661,0,47,92,15,22,9,77,90,67
481,customer-475662,0,47,88,29,22,9,66,87,76
482,customer-274277,0,48,89,24,22,35,69,88,73
483,customer-273781,0,48,88,24,22,35,69,88,74
484,customer-68213,0,48,90,8,22,39,82,93,65
485,customer-273263,0,48,88,26,22,35,68,88,75
486,customer-68212,0,48,21,5,22,39,88,92,57
487,customer-17181,0,48,30,8,22,64,90,92,56
488,customer-17180,0,48,22,6,22,64,88,92,57
489,customer-17179,0,48,26,12,22,65,92,90,50
490,customer-17182,0,48,50,2,22,64,86,94,62
491,customer-17183,0,48,84,6,22,63,82,94,66
492,customer-17184,0,48,8,11,22,63,86,89,57
493,customer-17185,0,48,6,12,22,62,85,88,57
494,customer-17187,0,48,97,18,22,61,78,87,63
495,customer-17186,0,48,96,14,22,62,80,89,64
496,customer-16967,0,48,97,17,22,61,79,87,63
497,customer-16966,0,48,99,9,22,61,83,90,61
498,customer-16965,0,48,24,6,22,61,89,92,57
499,customer-67906,0,48,2,15,22,38,82,87,59
500,customer-67905,0,48,99,8,22,38,84,91,62
501,customer-67904,0,48,70,5,22,38,84,95,65
502,customer-17618,0,48,4,20,22,64,82,84,56
503,customer-17616,0,48,98,11,22,65,81,89,63
504,customer-17397,0,48,96,12,22,64,80,89,64
505,customer-17396,0,48,11,12,22,64,87,87,54
506,customer-278582,0,48,14,9,22,33,88,89,54
507,customer-131209,0,48,22,14,22,38,92,88,48
508,customer-131222,0,48,88,9,22,34,80,93,67
509,customer-131221,0,48,19,6,22,34,88,91,57
510,customer-457554,0,48,5,2,22,7,86,93,61
511,customer-131571,0,48,12,9,22,38,87,89,56
512,customer-131583,0,48,0,9,22,34,83,90,61
513,customer-131582,0,48,21,12,22,34,91,89,50
514,customer-130853,0,48,22,15,22,37,92,87,47
515,customer-130852,0,48,23,17,22,38,93,87,45
516,customer-31365,0,48,14,6,22,75,87,91,57
517,customer-130866,0,48,88,17,22,33,75,91,70
518,customer-130865,0,48,98,8,22,33,83,91,62
519,customer-278045,0,48,28,8,22,33,90,92,55
520,customer-18063,0,49,0,18,22,65,80,85,60
521,customer-18062,0,49,97,12,22,66,81,89,63
522,customer-82761,0,49,16,11,22,57,89,89,54
523,customer-17836,0,49,6,18,22,65,84,85,54
524,customer-32119,0,49,78,26,22,75,67,94,82
525,customer-17837,0,49,99,20,22,65,78,85,61
526,customer-18286,0,49,88,12,22,66,78,92,69
527,customer-18287,0,49,91,18,22,66,75,89,69
528,customer-465795,0,49,14,23,22,11,89,81,43
529,customer-465499,0,49,11,17,22,11,87,85,51
530,customer-158001,0,49,2,15,22,20,82,87,59
